Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Corresponding Loading
Total;;;;7.6;0.5;7.6;0.2;7.7;0.1;0.6;
4;;;;7.4;-0.6;-7.5;0.1;-8.4;-0.6;-0.6;
;;;;;;;;;;;
5;5;0.000;max;7.5;0.5;7.5;0.1;14.9;0.1;1.6;
5;5;0.000;min;7.2;-0.6;-7.2;0.0;-15.1;-0.5;-1.4;
5;;0.037;max;7.5;0.5;7.5;0.1;12.7;0.0;1.5;
5;;0.037;min;7.2;-0.6;-7.2;0.1;-14.2;-0.7;-1.4;
5;;0.037;max;7.5;0.5;7.5;0.1;12.7;0.0;1.5;
5;;0.037;min;7.2;-0.6;-7.2;0.1;-14.2;-0.7;-1.4;
5;153;0.075;max;7.5;0.5;7.5;0.2;10.5;-0.1;1.4;
5;153;0.075;min;7.2;-0.6;-7.2;0.1;-13.3;-0.8;-1.3;
Extremes;5;0.000;u_X;7.5;0.5;7.5;0.1;14.9;0.1;1.6;CO17
5;153;0.075;u_X;7.2;-0.6;-7.2;0.1;-13.3;-0.8;-1.3;CO15
5;153;0.075;u_Y;7.5;0.5;7.5;0.2;10.5;-0.1;1.4;CO16
5;5;0.000;u_Y;7.2;-0.6;-7.2;0.0;-15.1;-0.5;-1.4;CO18
5;153;0.075;u_Z;7.5;0.5;7.5;0.2;10.5;-0.1;1.4;CO6
5;5;0.000;u_Z;7.2;-0.6;-7.2;0.0;-15.1;-0.5;-1.4;CO11
5;5;0.000;φ_X;7.5;0.5;7.5;0.1;14.9;0.1;1.6;CO16
5;5;0.000;φ_X;7.2;-0.6;-7.2;0.0;-15.1;-0.5;-1.4;CO19
5;5;0.000;φ_Y;7.5;0.5;7.5;0.1;14.9;0.1;1.6;CO10
5;153;0.075;φ_Y;7.2;-0.6;-7.2;0.1;-13.3;-0.8;-1.3;CO6
5;5;0.000;φ_Z;7.5;0.5;7.5;0.1;14.9;0.1;1.6;CO11
5;5;0.000;φ_Z;7.2;-0.6;-7.2;0.0;-15.1;-0.5;-1.4;CO19
Total;;;;7.5;0.5;7.5;0.2;14.9;0.1;1.6;
5;;;;7.2;-0.6;-7.2;0.0;-15.1;-0.8;-1.4;
;;;;;;;;;;;
6;7;0.000;max;0.0;0.0;0.0;0.0;3.3;0.7;0.0;
6;7;0.000;min;0.0;0.0;0.0;0.0;-4.6;-2.3;0.0;
6;7;0.000;max;0.0;0.0;0.0;0.0;3.3;0.7;0.0;
6;7;0.000;min;0.0;0.0;0.0;0.0;-4.6;-2.3;0.0;
