Line No.;;;Length;;;
;Nodes No.;Line Type;L [m];Position;Options;Comment
184;126,154;Polyline;5;|| Y;;
185;127,155;Polyline;5;|| Y;;
186;145,117;Polyline;5;|| Y;;
187;128,156;Polyline;5;|| Y;;
188;139,140;Polyline;1.65000071892954;In XZ;;
189;140,141;Polyline;1.649999624388442;In XZ;;
190;141,3;Polyline;0.074937842856597;In XZ;;
191;142,143;Polyline;1.649999723892401;In XZ;;
192;143,145;Polyline;1.649999723892402;In XZ;;
193;145,4;Polyline;0.150000164883242;In XZ;;
194;156,155;Polyline;1.649999723892402;In XZ;;
195;155,154;Polyline;1.6499997238924;In XZ;;
196;154,5;Polyline;1.574938197915399;In XZ;;
197;153,152;Polyline;1.649999624388439;In XZ;;
198;152,151;Polyline;1.650000718929542;In XZ;;
199;151,6;Polyline;1.649999624388443;In XZ;;
200;49,116;Polyline;5.00000000000002;|| Y;;
201;33,40;Polyline;5;|| Y;;
202;50,118;Polyline;5.000000000000058;|| Y;;
203;51,119;Polyline;5.000000000000036;|| Y;;
204;54,120;Polyline;5.000000000000094;|| Y;;
205;53,121;Polyline;5.000000000000286;|| Y;;
206;129,64;Polyline;5.00000000000002;|| Y;;
207;44,37;Polyline;5;|| Y;;
208;130,65;Polyline;5.000000000000058;|| Y;;
209;131,66;Polyline;5.000000000000036;|| Y;;
210;132,68;Polyline;5.000000000000094;|| Y;;
211;133,67;Polyline;5.000000000000286;|| Y;;
212;52,122;Polyline;5.000000000000672;|| Y;;
213;134,62;Polyline;5.000000000000672;|| Y;;
214;116,118;Polyline;1.65000071892954;|| XZ;;
215;118,119;Polyline;1.649999624388442;|| XZ;;
216;119,41;Polyline;0.074937842856597;|| XZ;;
217;120,121;Polyline;1.649999723892401;|| XZ;;
218;121,122;Polyline;1.649999723892402;|| XZ;;
219;122,42;Polyline;0.150000164883242;|| XZ;;
220;134,133;Polyline;1.649999723892402;|| XZ;;
221;133,132;Polyline;1.6499997238924;|| XZ;;
222;132,43;Polyline;1.574938197915399;|| XZ;;
223;131,130;Polyline;1.649999624388439;|| XZ;;
224;130,129;Polyline;1.650000718929542;|| XZ;;
225;129,44;Polyline;1.649999624388443;|| XZ;;
