Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
117;48.9;4.5;5.8;48.3;7.4;0.3;0.1;
117;20.8;-4.2;-5.8;19.5;-8.4;-0.5;-0.1;
118;10.6;1.0;9.6;4.4;10.0;2.2;0.2;
118;11.7;-0.1;-11.6;1.3;-25.7;0.6;-0.1;
119;5.0;0.6;5.0;0.2;12.3;1.1;1.3;
119;6.1;-0.3;-6.1;0.1;-10.3;0.2;-1.2;
120;6.9;0.5;6.4;2.4;7.8;-0.6;2.6;
120;9.0;-0.6;-9.0;0.6;-12.1;-1.6;-0.8;
121;7.3;0.9;6.7;2.8;5.7;1.2;0.8;
121;9.6;-0.3;-9.5;0.9;-14.9;0.3;-1.0;
122;6.2;0.5;6.2;0.2;6.4;0.5;0.4;
122;7.1;-0.5;-7.1;0.1;-4.9;0.0;-0.6;
123;11.0;7.2;3.2;7.7;5.6;5.7;0.0;
123;4.6;-2.7;-2.9;2.3;-7.0;2.0;-0.1;
124;19.9;6.6;4.0;18.4;9.8;6.8;0.5;
124;8.2;-3.2;-3.9;6.6;-11.1;2.8;-0.7;
125;30.4;5.8;4.6;29.5;13.1;6.5;1.1;
125;12.8;-3.6;-4.4;11.5;-14.4;2.6;-1.2;
126;39.8;5.1;4.9;39.2;11.8;5.0;1.1;
126;17.1;-4.0;-4.7;15.9;-13.1;1.9;-1.2;
127;46.3;4.7;5.1;45.8;9.9;2.9;0.7;
127;19.6;-4.2;-5.0;18.5;-11.1;0.9;-0.8;
128;48.9;4.5;5.8;48.3;7.4;0.5;0.1;
128;20.8;-4.2;-5.8;19.5;-8.4;-0.3;-0.1;
129;12.2;0.4;11.1;4.9;16.8;1.7;4.2;
129;11.6;-0.6;-11.5;1.2;-30.1;0.6;-4.8;
130;10.5;0.2;9.5;4.4;10.2;-0.6;0.1;
130;11.7;-1.1;-11.5;1.2;-25.6;-2.3;-0.2;
131;5.0;0.5;5.0;0.2;12.1;-0.1;1.2;
131;6.1;-0.6;-6.0;0.1;-10.2;-0.8;-1.3;
132;6.9;0.6;6.4;2.5;7.7;1.6;0.8;
132;8.9;-0.5;-8.9;0.8;-11.9;0.6;-2.5;
133;7.3;0.3;6.6;3.0;5.7;-0.4;1.0;
133;9.5;-0.9;-9.4;1.1;-14.5;-1.3;-0.8;
134;6.2;0.4;6.2;0.3;6.5;-0.2;0.6;
134;7.1;-0.6;-7.1;0.1;-5.0;-0.6;-0.5;
139;12.3;0.6;11.2;4.9;29.0;-0.7;4.2;
139;10.7;-0.4;-10.7;1.3;-16.0;-1.9;-4.7;
140;12.1;1.0;11.2;4.4;25.3;2.2;0.1;
140;9.2;-0.1;-9.1;1.3;-9.7;0.6;-0.1;
141;5.7;0.6;5.6;0.2;10.7;1.1;1.3;
141;4.8;-0.3;-4.8;0.1;-13.5;0.2;-1.4;
142;8.7;0.5;8.4;2.4;11.7;-0.6;0.7;
142;6.2;-0.6;-6.2;0.6;-9.3;-1.6;-2.5;
143;9.3;0.9;8.8;2.8;14.5;1.2;1.2;
143;6.4;-0.3;-6.3;0.9;-7.5;0.3;-0.9;
145;6.5;0.5;6.4;0.2;5.9;0.5;0.6;
145;6.0;-0.5;-6.0;0.1;-7.8;0.0;-0.4;
151;12.2;0.4;11.2;4.9;30.0;1.7;4.7;
151;10.9;-0.6;-10.8;1.2;-16.7;0.6;-4.2;
152;12.0;0.2;11.2;4.4;25.4;-0.6;0.1;
152;9.3;-1.1;-9.1;1.2;-9.9;-2.3;-0.1;
153;5.6;0.5;5.6;0.2;10.5;-0.1;1.4;
153;4.9;-0.6;-4.8;0.1;-13.3;-0.8;-1.3;
154;8.6;0.6;8.3;2.5;11.8;1.6;2.5;
154;6.2;-0.5;-6.1;0.8;-9.3;0.6;-0.7;
155;9.2;0.3;8.7;3.0;14.3;-0.4;1.0;
155;6.4;-0.9;-6.3;1.1;-7.6;-1.3;-1.2;
156;6.4;0.4;6.4;0.3;5.9;-0.2;0.4;
156;6.0;-0.6;-6.0;0.1;-7.8;-0.6;-0.6;
Total;49.0;7.6;11.2;48.5;30.0;6.8;5.0;
max/min;0.0;-7.3;-11.6;0.0;-30.1;-6.9;-5.0;
