Node No.;;Reference;Coordinate;Coordinate;Coordinates;;;Global Coordinates;;;;
;Node Type;Node;System;Type;X [m];Y [m];Z [m];X [m];Y [m];Z [m];Options;Comment
98;Standard;--;1 - Global XYZ;Cartesian;13.432877999999999;10;-4.656713000000002;13.432877999999999;10;-4.656713000000002;;
99;Standard;--;1 - Global XYZ;Cartesian;11.791067;10;-4.820895000000002;11.791067;10;-4.820895000000002;;
100;Standard;--;1 - Global XYZ;Cartesian;10.149256;10;-4.985077000000002;10.149256;10;-4.985077000000002;;
101;;;;;;;;;;;;
102;;;;;;;;;;;;
103;;;;;;;;;;;;
104;;;;;;;;;;;;
105;;;;;;;;;;;;
106;;;;;;;;;;;;
107;;;;;;;;;;;;
108;;;;;;;;;;;;
109;;;;;;;;;;;;
110;;;;;;;;;;;;
111;Standard;--;1 - Global XYZ;Cartesian;1.641811;5;-4.164181;1.641811;5;-4.164181;;
112;Standard;--;1 - Global XYZ;Cartesian;3.283623;5;-4.328363000000001;3.283623;5;-4.328363000000001;;
113;Standard;--;1 - Global XYZ;Cartesian;4.925434;5;-4.492544000000001;4.925434;5;-4.492544000000001;;
114;Standard;--;1 - Global XYZ;Cartesian;6.567122;5;-4.656713000000002;6.567122;5;-4.656713000000002;;
115;Standard;--;1 - Global XYZ;Cartesian;8.208933;5;-4.820895000000002;8.208933;5;-4.820895000000002;;
116;Standard;--;1 - Global XYZ;Cartesian;1.641811;25;-4.164181;1.641811;25;-4.164181;;
117;Standard;--;1 - Global XYZ;Cartesian;9.850744;5;-4.985077000000002;9.850744;5;-4.985077000000002;;
118;Standard;--;1 - Global XYZ;Cartesian;3.283623;25;-4.328363000000001;3.283623;25;-4.328363000000001;;
119;Standard;--;1 - Global XYZ;Cartesian;4.925434;25;-4.492544000000001;4.925434;25;-4.492544000000001;;
120;Standard;--;1 - Global XYZ;Cartesian;6.567122;25;-4.656713000000002;6.567122;25;-4.656713000000002;;
121;Standard;--;1 - Global XYZ;Cartesian;8.208933;25;-4.820895000000002;8.208933;25;-4.820895000000002;;
122;Standard;--;1 - Global XYZ;Cartesian;9.850744;25;-4.985077000000002;9.850744;25;-4.985077000000002;;
123;Standard;--;1 - Global XYZ;Cartesian;18.358189;5;-4.164181;18.358189;5;-4.164181;;
124;Standard;--;1 - Global XYZ;Cartesian;16.716376999999998;5;-4.328363000000001;16.716376999999998;5;-4.328363000000001;;
125;Standard;--;1 - Global XYZ;Cartesian;15.074566;5;-4.492544000000001;15.074566;5;-4.492544000000001;;
126;Standard;--;1 - Global XYZ;Cartesian;13.432877999999999;5;-4.656713000000002;13.432877999999999;5;-4.656713000000002;;
127;Standard;--;1 - Global XYZ;Cartesian;11.791067;5;-4.820895000000002;11.791067;5;-4.820895000000002;;
128;Standard;--;1 - Global XYZ;Cartesian;10.149256;5;-4.985077000000002;10.149256;5;-4.985077000000002;;
129;Standard;--;1 - Global XYZ;Cartesian;18.358189;25;-4.164181;18.358189;25;-4.164181;;
130;Standard;--;1 - Global XYZ;Cartesian;16.716376999999998;25;-4.328363000000001;16.716376999999998;25;-4.328363000000001;;
131;Standard;--;1 - Global XYZ;Cartesian;15.074566;25;-4.492544000000001;15.074566;25;-4.492544000000001;;
132;Standard;--;1 - Global XYZ;Cartesian;13.432877999999999;25;-4.656713000000002;13.432877999999999;25;-4.656713000000002;;
133;Standard;--;1 - Global XYZ;Cartesian;11.791067;25;-4.820895000000002;11.791067;25;-4.820895000000002;;
134;Standard;--;1 - Global XYZ;Cartesian;10.149256;25;-4.985077000000002;10.149256;25;-4.985077000000002;;
135;;;;;;;;;;;;
136;;;;;;;;;;;;
137;;;;;;;;;;;;
138;;;;;;;;;;;;
139;Standard;--;1 - Global XYZ;Cartesian;1.641811;0;-4.164181;1.641811;0;-4.164181;;
140;Standard;--;1 - Global XYZ;Cartesian;3.283623;0;-4.328363000000001;3.283623;0;-4.328363000000001;;
141;Standard;--;1 - Global XYZ;Cartesian;4.925434;0;-4.492544000000001;4.925434;0;-4.492544000000001;;
142;Standard;--;1 - Global XYZ;Cartesian;6.567122;0;-4.656713000000002;6.567122;0;-4.656713000000002;;
143;Standard;--;1 - Global XYZ;Cartesian;8.208933;0;-4.820895000000002;8.208933;0;-4.820895000000002;;
144;;;;;;;;;;;;
145;Standard;--;1 - Global XYZ;Cartesian;9.850744;0;-4.985077000000002;9.850744;0;-4.985077000000002;;
146;;;;;;;;;;;;
147;;;;;;;;;;;;
148;;;;;;;;;;;;
149;;;;;;;;;;;;
150;;;;;;;;;;;;
151;Standard;--;1 - Global XYZ;Cartesian;18.358189;0;-4.164181;18.358189;0;-4.164181;;
152;Standard;--;1 - Global XYZ;Cartesian;16.716376999999998;0;-4.328363000000001;16.716376999999998;0;-4.328363000000001;;
153;Standard;--;1 - Global XYZ;Cartesian;15.074566;0;-4.492544000000001;15.074566;0;-4.492544000000001;;
154;Standard;--;1 - Global XYZ;Cartesian;13.432877999999999;0;-4.656713000000002;13.432877999999999;0;-4.656713000000002;;
155;Standard;--;1 - Global XYZ;Cartesian;11.791067;0;-4.820895000000002;11.791067;0;-4.820895000000002;;
156;Standard;--;1 - Global XYZ;Cartesian;10.149256;0;-4.985077000000002;10.149256;0;-4.985077000000002;;
