Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Corresponding Loading
6;;1.500;max;-0.01;0.00;0.03;1.7;1.5;3.3;
6;;1.500;min;-0.01;0.00;0.00;-1.1;-0.5;-2.0;
6;;1.738;max;-0.01;0.00;0.02;1.6;1.6;3.4;
6;;1.738;min;-0.01;0.00;0.01;-1.2;-0.4;-2.1;
6;;2.000;max;0.00;0.00;0.02;1.4;1.6;3.4;
6;;2.000;min;-0.01;0.00;0.00;-1.3;-0.4;-2.0;
6;;2.000;max;0.00;0.00;0.02;1.4;1.6;3.4;
6;;2.000;min;-0.01;0.00;0.00;-1.3;-0.4;-2.0;
6;;2.190;max;0.00;0.01;0.03;1.3;1.6;3.2;
6;;2.190;min;-0.01;0.00;-0.01;-1.3;-0.3;-1.9;
6;6;4.000;max;0.00;0.02;0.04;0.9;1.5;0.1;
6;6;4.000;min;-0.01;-0.01;-0.04;-0.6;0.4;-0.2;
6;6;4.000;max;0.00;0.02;0.04;0.9;1.5;0.1;
6;6;4.000;min;-0.01;-0.01;-0.04;-0.6;0.4;-0.2;
Extremes;6;4.000;ε_x;0.00;0.02;0.04;0.9;1.5;0.1;CO11
6;7;0.000;ε_x;-0.02;-0.03;-0.04;-1.3;0.0;0.0;CO5
6;6;4.000;γ_xy;0.00;0.02;0.04;0.9;1.5;0.1;CO15
6;7;0.000;γ_xy;-0.02;-0.03;-0.04;-1.3;0.0;0.0;CO15
6;7;0.000;γ_xz;-0.01;0.02;0.09;1.2;0.0;0.0;CO16
6;6;4.000;γ_xz;-0.01;-0.01;-0.04;-0.6;0.4;-0.2;CO11
6;;1.000;κ_x;-0.01;0.01;0.05;1.9;1.2;2.7;CO16
6;;2.500;κ_x;-0.01;-0.01;-0.02;-1.3;-0.2;-1.8;CO10
6;;2.000;κ_y;0.00;0.00;0.02;1.4;1.6;3.4;CO16
6;;1.333;κ_y;-0.01;-0.01;0.00;-1.1;-0.5;-1.9;CO10
6;;1.738;κ_z;-0.01;0.00;0.02;1.6;1.6;3.4;CO15
6;;1.738;κ_z;-0.01;0.00;0.01;-1.2;-0.4;-2.1;CO16
Total;;;;0.00;0.02;0.09;1.9;1.6;3.4;
6;;;;-0.02;-0.03;-0.04;-1.3;-0.5;-2.1;
;;;;;;;;;;
7;8;0.000;max;-0.01;0.00;0.12;0.0;0.0;0.0;
7;8;0.000;min;-0.03;0.00;-0.11;0.0;0.0;0.0;
7;8;0.000;max;-0.01;0.00;0.12;0.0;0.0;0.0;
7;8;0.000;min;-0.03;0.00;-0.11;0.0;0.0;0.0;
7;;1.738;max;-0.01;0.00;0.02;0.1;2.2;0.0;
7;;1.738;min;-0.03;0.00;-0.02;0.0;-2.0;-0.4;
7;;2.238;max;-0.01;0.00;0.01;0.1;2.2;0.0;
7;;2.238;min;-0.03;0.00;-0.01;0.0;-2.0;-0.4;
7;3;4.500;max;-0.01;0.00;0.07;0.0;0.0;0.0;
7;3;4.500;min;-0.03;0.00;-0.07;0.0;0.0;0.0;
7;3;4.500;max;-0.01;0.00;0.07;0.0;0.0;0.0;
7;3;4.500;min;-0.03;0.00;-0.07;0.0;0.0;0.0;
Extremes;3;4.500;ε_x;-0.01;0.00;0.07;0.0;0.0;0.0;CO12
7;8;0.000;ε_x;-0.03;0.00;-0.11;0.0;0.0;0.0;CO5
7;8;0.000;γ_xy;-0.01;0.00;0.12;0.0;0.0;0.0;CO5
7;3;4.500;γ_xy;-0.03;0.00;-0.07;0.0;0.0;0.0;CO5
7;8;0.000;γ_xz;-0.01;0.00;0.12;0.0;0.0;0.0;CO12
7;8;0.000;γ_xz;-0.03;0.00;-0.11;0.0;0.0;0.0;CO16
7;;2.000;κ_x;-0.01;0.00;0.00;0.1;2.2;0.0;CO17
7;;3.000;κ_x;-0.03;0.00;-0.05;-0.1;-1.6;-0.3;CO15
7;;2.000;κ_y;-0.01;0.00;0.00;0.1;2.2;0.0;CO12
7;;2.000;κ_y;-0.03;0.00;0.00;0.0;-2.0;-0.4;CO16
7;8;0.000;κ_z;-0.01;0.00;0.12;0.0;0.0;0.0;CO3
7;;2.238;κ_z;-0.03;0.00;-0.01;0.0;-2.0;-0.4;CO5
Total;;;;-0.01;0.00;0.12;0.1;2.2;0.0;
7;;;;-0.03;0.00;-0.11;-0.1;-2.0;-0.4;
;;;;;;;;;;
8;9;0.000;max;-0.01;0.00;0.11;0.0;0.0;0.0;
8;9;0.000;min;-0.03;0.00;-0.12;0.0;0.0;0.0;
8;9;0.000;max;-0.01;0.00;0.11;0.0;0.0;0.0;
8;9;0.000;min;-0.03;0.00;-0.12;0.0;0.0;0.0;
8;;2.238;max;-0.01;0.00;0.00;0.1;2.3;0.0;
8;;2.238;min;-0.03;0.00;0.00;-0.1;-2.5;-0.4;
8;4;5.000;max;-0.01;0.00;0.08;0.0;0.0;0.0;
8;4;5.000;min;-0.03;0.00;-0.07;0.0;0.0;0.0;
8;4;5.000;max;-0.01;0.00;0.08;0.0;0.0;0.0;
8;4;5.000;min;-0.03;0.00;-0.07;0.0;0.0;0.0;
Extremes;4;5.000;ε_x;-0.01;0.00;0.08;0.0;0.0;0.0;CO10
8;9;0.000;ε_x;-0.03;0.00;-0.12;0.0;0.0;0.0;CO7
8;9;0.000;γ_xy;-0.01;0.00;0.11;0.0;0.0;0.0;CO6
8;4;5.000;γ_xy;-0.03;0.00;-0.07;0.0;0.0;0.0;CO6
8;9;0.000;γ_xz;-0.01;0.00;0.11;0.0;0.0;0.0;CO15
8;9;0.000;γ_xz;-0.03;0.00;-0.12;0.0;0.0;0.0;CO16
8;;3.500;κ_x;-0.01;0.00;0.05;0.1;1.7;0.0;CO16
8;;3.500;κ_x;-0.03;0.00;-0.05;-0.2;-1.8;-0.3;CO15
8;;2.238;κ_y;-0.01;0.00;0.00;0.1;2.3;0.0;CO15
8;;2.238;κ_y;-0.03;0.00;0.00;-0.1;-2.5;-0.4;CO16
8;;2.500;κ_z;-0.01;0.00;0.01;0.1;2.3;0.0;CO9
8;;2.500;κ_z;-0.03;0.00;-0.01;-0.1;-2.5;-0.4;CO6
Total;;;;-0.01;0.00;0.11;0.1;2.3;0.0;
8;;;;-0.03;0.00;-0.12;-0.2;-2.5;-0.4;
;;;;;;;;;;
9;10;0.000;max;-0.01;0.00;0.13;0.0;0.0;0.0;
9;10;0.000;min;-0.03;0.00;-0.11;0.0;0.0;0.0;
9;10;0.000;max;-0.01;0.00;0.13;0.0;0.0;0.0;
9;10;0.000;min;-0.03;0.00;-0.11;0.0;0.0;0.0;
