Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;28;33;4.000;;-91.60;0.01;-60.67;0.10;-248.45;-0.03;Beam | 1 - IPE 500 | L : 4.000 m
1;29;33;0.000;;-64.92;-0.16;78.47;-0.02;-248.69;-0.11;Beam | 1 - IPE 500 | L : 1.650 m
1;29;49;1.650;;-64.50;-0.38;76.65;-0.08;-120.67;-0.20;Beam | 1 - IPE 500 | L : 1.650 m
1;30;34;0.000;;-60.45;-0.10;34.09;0.04;64.34;0.78;Beam | 1 - IPE 500 | L : 1.575 m
1;30;54;1.575;;-60.31;-0.05;32.09;0.03;116.47;0.81;Beam | 1 - IPE 500 | L : 1.575 m
1;31;35;0.000;;-56.74;-0.24;5.44;-0.01;150.60;-0.13;Beam | 1 - IPE 500 | L : 0.150 m
1;31;62;0.150;;-56.76;-0.24;5.25;-0.01;151.40;-0.08;Beam | 1 - IPE 500 | L : 0.150 m
1;32;36;0.000;;-60.49;-0.10;-34.52;-0.04;62.93;0.77;Beam | 1 - IPE 500 | L : 0.075 m
1;32;66;0.075;;-60.50;-0.09;-34.62;-0.04;60.34;0.78;Beam | 1 - IPE 500 | L : 0.075 m
1;33;38;0.000;;-96.10;0.03;68.46;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;33;38;0.000;;-96.10;0.03;68.46;-0.01;0.00;0.00;Beam | 1 - IPE 500 | L : 4.000 m
1;33;;1.500;;-94.33;0.02;63.90;-0.04;99.31;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;33;;1.500;;-94.33;0.02;63.90;-0.04;99.31;-0.04;Beam | 1 - IPE 500 | L : 4.000 m
1;33;37;4.000;;-91.54;0.01;59.01;-0.10;251.82;-0.03;Beam | 1 - IPE 500 | L : 4.000 m
1;33;37;4.000;;-91.54;0.01;59.01;-0.10;251.82;-0.03;Beam | 1 - IPE 500 | L : 4.000 m
1;84;49;0.000;;-63.30;-0.29;63.98;-0.06;-121.14;-0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;84;50;1.650;;-63.04;-0.43;62.04;-0.10;-17.13;0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;85;50;0.000;;-61.86;-0.29;49.37;-0.08;-17.60;0.21;Beam | 1 - IPE 500 | L : 1.650 m
1;85;51;1.650;;-61.69;-0.36;47.34;-0.09;62.21;0.80;Beam | 1 - IPE 500 | L : 1.650 m
1;86;51;0.000;;-60.50;0.09;34.67;0.04;61.75;0.79;Beam | 1 - IPE 500 | L : 0.075 m
1;86;34;0.075;;-60.49;0.09;34.57;0.04;64.34;0.78;Beam | 1 - IPE 500 | L : 0.075 m
1;87;52;0.000;;-56.77;0.24;-5.20;0.02;151.39;-0.07;Beam | 1 - IPE 500 | L : 0.150 m
1;87;35;0.150;;-56.75;0.24;-5.40;0.02;150.60;-0.13;Beam | 1 - IPE 500 | L : 0.150 m
1;88;53;0.000;;-57.72;0.19;4.62;0.04;145.83;0.47;Beam | 1 - IPE 500 | L : 1.650 m
1;88;52;1.650;;-57.53;0.20;2.47;0.01;151.68;-0.07;Beam | 1 - IPE 500 | L : 1.650 m
1;89;54;0.000;;-59.11;0.07;19.42;0.05;116.01;0.81;Beam | 1 - IPE 500 | L : 1.650 m
1;89;53;1.650;;-58.95;0.11;17.28;0.03;146.29;0.48;Beam | 1 - IPE 500 | L : 1.650 m
1;91;55;0.000;;-64.27;-0.29;63.84;-0.07;-120.79;-0.20;Beam | 1 - IPE 500 | L : 1.650 m
1;91;57;1.650;;-64.01;-0.44;61.90;-0.10;-17.03;0.23;Beam | 1 - IPE 500 | L : 1.650 m
