Member Set No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Corresponding Loading
1;Obergurt;;;;;;;;;;
1;188;;0.825;N;3.70;-0.28;-0.37;0.02;1.95;-1.26;CO30
1;188;;0.825;N;-3.26;0.53;-0.03;-0.01;2.31;1.48;CO36
1;188;;0.825;V_y;-3.02;0.53;0.05;-0.01;1.31;1.50;CO31
1;188;;0.825;V_y;3.70;-0.28;-0.37;0.02;1.95;-1.26;CO30
1;188;;0.825;V_z;-3.02;0.53;0.05;-0.01;1.31;1.50;CO31
1;188;;0.825;V_z;3.45;-0.28;-0.46;0.02;2.93;-1.25;CO35
1;188;;0.825;M_T;3.45;-0.28;-0.46;0.02;2.93;-1.25;CO35
1;188;;0.825;M_T;1.26;0.11;-0.29;-0.01;2.68;0.64;CO37
1;188;;0.825;M_y;1.57;-0.17;-0.42;0.01;3.74;-0.75;CO25
1;188;;0.825;M_y;-3.02;0.53;0.05;-0.01;1.31;1.50;CO31
1;188;;0.825;M_z;-3.02;0.53;0.05;-0.01;1.31;1.50;CO31
1;188;;0.825;M_z;3.70;-0.28;-0.37;0.02;1.95;-1.26;CO30
1;188;140;1.650;N;3.72;-1.00;-0.58;0.02;1.56;-0.72;CO30
1;188;140;1.650;N;-3.24;1.36;-0.25;-0.01;2.20;0.68;CO36
1;188;140;1.650;V_y;-3.00;1.36;-0.17;-0.01;1.26;0.70;CO31
1;188;140;1.650;V_y;3.47;-1.00;-0.66;0.02;2.47;-0.71;CO35
1;188;140;1.650;V_z;-3.00;1.36;-0.17;-0.01;1.26;0.70;CO31
1;188;140;1.650;V_z;3.47;-1.00;-0.66;0.02;2.47;-0.71;CO35
1;188;140;1.650;M_T;3.72;-1.00;-0.58;0.02;1.56;-0.72;CO30
1;188;140;1.650;M_T;1.28;0.42;-0.49;-0.01;2.36;0.42;CO37
1;188;140;1.650;M_y;1.59;-0.60;-0.62;0.01;3.30;-0.42;CO25
1;188;140;1.650;M_y;-3.00;1.36;-0.17;-0.01;1.26;0.70;CO31
1;188;140;1.650;M_z;-3.00;1.36;-0.17;-0.01;1.26;0.70;CO31
1;188;140;1.650;M_z;3.72;-1.00;-0.58;0.02;1.56;-0.72;CO30
1;189;140;0.000;N;3.88;-0.79;-2.18;0.05;1.53;-0.72;CO30
1;189;140;0.000;N;-2.94;1.06;-3.27;-0.05;2.14;0.68;CO36
1;189;140;0.000;V_y;-2.84;1.09;-1.80;-0.05;1.23;0.70;CO31
