Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
151;113;Min.;-0.72;0.16;1.60;0.00;0.00;0.00;
151;85;Max.;1.45;-0.16;-1.60;0.00;0.00;0.00;
151;85;Min.;-0.72;-0.44;-4.39;0.00;0.00;0.00;
152;114;Max.;0.19;0.44;4.40;0.00;0.00;0.00;
152;114;Min.;-0.11;0.16;1.60;0.00;0.00;0.00;
152;86;Max.;0.19;-0.16;-1.60;0.00;0.00;0.00;
152;86;Min.;-0.11;-0.44;-4.40;0.00;0.00;0.00;
153;115;Max.;0.22;0.44;4.40;0.00;0.00;0.00;
153;115;Min.;-0.07;0.16;1.60;0.00;0.00;0.00;
153;87;Max.;0.22;-0.16;-1.60;0.00;0.00;0.00;
153;87;Min.;-0.07;-0.44;-4.40;0.00;0.00;0.00;
154;95;Max.;0.45;0.44;4.40;0.00;0.00;0.00;
154;95;Min.;-0.25;0.16;1.60;0.00;0.00;0.00;
154;123;Max.;0.45;-0.16;-1.60;0.00;0.00;0.00;
154;123;Min.;-0.25;-0.44;-4.40;0.00;0.00;0.00;
155;23;Max.;0.00;0.23;2.27;0.00;0.00;0.00;
155;23;Min.;0.00;0.09;0.89;0.00;0.00;0.00;
155;16;Max.;0.00;-0.09;-0.89;0.00;0.00;0.00;
155;16;Min.;0.00;-0.23;-2.27;0.00;0.00;0.00;
156;96;Max.;0.26;0.44;4.40;0.00;0.00;0.00;
156;96;Min.;-0.13;0.16;1.60;0.00;0.00;0.00;
156;124;Max.;0.26;-0.16;-1.60;0.00;0.00;0.00;
156;124;Min.;-0.13;-0.44;-4.40;0.00;0.00;0.00;
157;97;Max.;1.42;0.44;4.39;0.00;0.00;0.00;
157;97;Min.;-0.71;0.16;1.60;0.00;0.00;0.00;
157;125;Max.;1.42;-0.16;-1.60;0.00;0.00;0.00;
157;125;Min.;-0.71;-0.44;-4.39;0.00;0.00;0.00;
158;98;Max.;0.20;0.44;4.40;0.00;0.00;0.00;
158;98;Min.;-0.11;0.16;1.60;0.00;0.00;0.00;
158;126;Max.;0.20;-0.16;-1.60;0.00;0.00;0.00;
158;126;Min.;-0.11;-0.44;-4.40;0.00;0.00;0.00;
159;99;Max.;0.21;0.44;4.40;0.00;0.00;0.00;
159;99;Min.;-0.07;0.16;1.60;0.00;0.00;0.00;
159;127;Max.;0.21;-0.16;-1.60;0.00;0.00;0.00;
159;127;Min.;-0.07;-0.44;-4.40;0.00;0.00;0.00;
160;117;Max.;0.23;0.27;2.80;0.00;0.00;0.00;
160;117;Min.;-0.11;0.10;1.02;0.00;0.00;0.00;
160;89;Max.;0.23;-0.10;-1.02;0.00;0.00;0.00;
160;89;Min.;-0.11;-0.27;-2.80;0.00;0.00;0.00;
161;100;Max.;0.22;0.27;2.80;0.00;0.00;0.00;
161;100;Min.;-0.10;0.10;1.02;0.00;0.00;0.00;
161;128;Max.;0.22;-0.10;-1.02;0.00;0.00;0.00;
