Member No.;Node;;Forces [kN];;;Moments [kNm];;;
;No.;;N;V_y;V_z;M_T;M_y;M_z;
159;127;Max.;0.32;-0.22;-2.16;0.00;0.00;0.00;
159;127;Min.;-0.11;-0.63;-6.36;0.00;0.00;0.00;
160;117;Max.;0.35;0.38;4.04;0.00;0.00;0.00;
160;117;Min.;-0.16;0.14;1.37;0.00;0.00;0.00;
160;89;Max.;0.35;-0.14;-1.37;0.00;0.00;0.00;
160;89;Min.;-0.16;-0.38;-4.04;0.00;0.00;0.00;
161;100;Max.;0.34;0.38;4.04;0.00;0.00;0.00;
161;100;Min.;-0.15;0.14;1.37;0.00;0.00;0.00;
161;128;Max.;0.34;-0.14;-1.37;0.00;0.00;0.00;
161;128;Min.;-0.15;-0.38;-4.04;0.00;0.00;0.00;
174;139;Max.;0.62;0.63;6.36;0.00;0.00;0.00;
174;139;Min.;-0.44;0.22;2.16;0.00;0.00;0.00;
174;111;Max.;0.62;-0.22;-2.16;0.00;0.00;0.00;
174;111;Min.;-0.44;-0.63;-6.36;0.00;0.00;0.00;
175;2;Max.;0.00;0.33;3.28;0.00;0.00;0.00;
175;2;Min.;0.00;0.12;1.20;0.00;0.00;0.00;
175;12;Max.;0.00;-0.12;-1.20;0.00;0.00;0.00;
175;12;Min.;0.00;-0.33;-3.28;0.00;0.00;0.00;
176;140;Max.;0.37;0.63;6.36;0.00;0.00;0.00;
176;140;Min.;-0.29;0.22;2.16;0.00;0.00;0.00;
176;112;Max.;0.37;-0.22;-2.16;0.00;0.00;0.00;
176;112;Min.;-0.29;-0.63;-6.36;0.00;0.00;0.00;
177;141;Max.;2.21;0.63;6.35;0.00;0.00;0.00;
177;141;Min.;-1.66;0.22;2.16;0.00;0.00;0.00;
177;113;Max.;2.21;-0.22;-2.16;0.00;0.00;0.00;
177;113;Min.;-1.66;-0.63;-6.34;0.00;0.00;0.00;
178;142;Max.;0.26;0.63;6.36;0.00;0.00;0.00;
178;142;Min.;-0.23;0.22;2.16;0.00;0.00;0.00;
178;114;Max.;0.26;-0.22;-2.16;0.00;0.00;0.00;
178;114;Min.;-0.23;-0.63;-6.36;0.00;0.00;0.00;
179;143;Max.;0.31;0.63;6.36;0.00;0.00;0.00;
179;143;Min.;-0.18;0.22;2.16;0.00;0.00;0.00;
179;115;Max.;0.31;-0.22;-2.16;0.00;0.00;0.00;
179;115;Min.;-0.18;-0.63;-6.36;0.00;0.00;0.00;
180;123;Max.;0.66;0.63;6.36;0.00;0.00;0.00;
180;123;Min.;-0.47;0.22;2.16;0.00;0.00;0.00;
180;151;Max.;0.66;-0.22;-2.16;0.00;0.00;0.00;
180;151;Min.;-0.47;-0.63;-6.36;0.00;0.00;0.00;
181;16;Max.;0.00;0.33;3.28;0.00;0.00;0.00;
181;16;Min.;0.00;0.12;1.20;0.00;0.00;0.00;
181;6;Max.;0.00;-0.12;-1.20;0.00;0.00;0.00;
181;6;Min.;0.00;-0.33;-3.28;0.00;0.00;0.00;
182;124;Max.;0.36;0.63;6.36;0.00;0.00;0.00;
182;124;Min.;-0.28;0.22;2.16;0.00;0.00;0.00;
182;152;Max.;0.36;-0.22;-2.16;0.00;0.00;0.00;
182;152;Min.;-0.28;-0.63;-6.36;0.00;0.00;0.00;
183;125;Max.;2.18;0.63;6.34;0.00;0.00;0.00;
183;125;Min.;-1.63;0.22;2.16;0.00;0.00;0.00;
183;153;Max.;2.18;-0.22;-2.16;0.00;0.00;0.00;
183;153;Min.;-1.63;-0.63;-6.35;0.00;0.00;0.00;
184;126;Max.;0.26;0.63;6.36;0.00;0.00;0.00;
184;126;Min.;-0.24;0.22;2.16;0.00;0.00;0.00;
184;154;Max.;0.26;-0.22;-2.16;0.00;0.00;0.00;
184;154;Min.;-0.24;-0.63;-6.36;0.00;0.00;0.00;
185;127;Max.;0.30;0.63;6.36;0.00;0.00;0.00;
185;127;Min.;-0.17;0.22;2.16;0.00;0.00;0.00;
185;155;Max.;0.30;-0.22;-2.16;0.00;0.00;0.00;
185;155;Min.;-0.17;-0.63;-6.36;0.00;0.00;0.00;
186;145;Max.;0.32;0.38;4.04;0.00;0.00;0.00;
186;145;Min.;-0.29;0.14;1.37;0.00;0.00;0.00;
186;117;Max.;0.32;-0.14;-1.37;0.00;0.00;0.00;
186;117;Min.;-0.29;-0.38;-4.04;0.00;0.00;0.00;
187;128;Max.;0.31;0.38;4.04;0.00;0.00;0.00;
187;128;Min.;-0.28;0.14;1.37;0.00;0.00;0.00;
