Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Corresponding Loading
7;8;0.000;φ_X;0.0;0.0;0.0;0.0;2.7;0.0;0.0;CO35
7;8;0.000;φ_X;0.0;0.0;0.0;0.0;-2.3;-0.4;0.0;CO31
7;3;4.500;φ_Y;3.1;0.3;3.1;0.1;2.0;0.4;0.0;CO24
7;8;0.000;φ_Y;0.0;0.0;0.0;0.0;-2.3;-0.4;0.0;CO24
7;8;0.000;φ_Z;0.0;0.0;0.0;0.0;2.7;0.0;0.0;CO20
7;8;0.000;φ_Z;0.0;0.0;0.0;0.0;-2.3;-0.4;0.0;CO20
Total;;;;4.5;0.6;4.4;0.1;2.7;0.4;0.0;
7;;;;0.0;-0.2;-3.2;0.0;-2.3;-0.4;0.0;
;;;;;;;;;;;
8;9;0.000;max;0.0;0.0;0.0;0.0;3.6;0.0;0.0;
8;9;0.000;min;0.0;0.0;0.0;0.0;-2.6;-0.4;0.0;
8;9;0.000;max;0.0;0.0;0.0;0.0;3.6;0.0;0.0;
8;9;0.000;min;0.0;0.0;0.0;0.0;-2.6;-0.4;0.0;
8;;2.238;max;6.0;0.7;6.0;0.1;1.1;0.0;0.0;
8;;2.238;min;4.0;0.0;-4.0;0.0;-0.9;-0.1;0.0;
8;4;5.000;max;3.9;0.3;3.9;0.1;2.3;0.4;0.0;
8;4;5.000;min;3.8;-0.3;-3.8;0.0;-1.8;-0.1;0.0;
8;4;5.000;max;3.9;0.3;3.9;0.1;2.3;0.4;0.0;
8;4;5.000;min;3.8;-0.3;-3.8;0.0;-1.8;-0.1;0.0;
Extremes;;2.500;u_X;6.3;0.7;6.2;0.1;0.7;0.1;0.0;CO25
8;4;5.000;u_X;3.8;-0.3;-3.8;0.0;-1.8;-0.1;0.0;CO34
8;;3.000;u_Y;6.4;0.6;6.4;0.1;0.8;0.2;0.0;CO35
8;;3.500;u_Y;4.1;0.0;-4.1;0.0;-0.8;-0.1;0.0;CO37
8;4;5.000;u_Z;3.9;0.3;3.9;0.1;2.3;0.4;0.0;CO26
8;9;0.000;u_Z;0.0;0.0;0.0;0.0;-2.6;-0.4;0.0;CO20
8;9;0.000;φ_X;0.0;0.0;0.0;0.0;3.6;0.0;0.0;CO35
8;9;0.000;φ_X;0.0;0.0;0.0;0.0;-2.6;-0.4;0.0;CO34
8;4;5.000;φ_Y;3.9;0.3;3.9;0.1;2.3;0.4;0.0;CO25
8;9;0.000;φ_Y;0.0;0.0;0.0;0.0;-2.6;-0.4;0.0;CO25
8;9;0.000;φ_Z;0.0;0.0;0.0;0.0;3.6;0.0;0.0;CO20
8;9;0.000;φ_Z;0.0;0.0;0.0;0.0;-2.6;-0.4;0.0;CO20
Total;;;;6.4;0.7;6.4;0.1;3.6;0.4;0.0;
8;;;;0.0;-0.3;-4.1;0.0;-2.6;-0.4;0.0;
;;;;;;;;;;;
9;10;0.000;max;0.0;0.0;0.0;0.0;2.7;0.0;0.0;
9;10;0.000;min;0.0;0.0;0.0;0.0;-2.3;-0.3;0.0;
9;10;0.000;max;0.0;0.0;0.0;0.0;2.7;0.0;0.0;
9;10;0.000;min;0.0;0.0;0.0;0.0;-2.3;-0.3;0.0;
9;;1.738;max;3.9;0.4;3.9;0.0;1.3;0.0;0.0;
9;;1.738;min;3.1;0.0;-3.1;0.0;-0.9;-0.1;0.0;
9;;2.238;max;4.4;0.5;4.3;0.0;0.6;0.1;0.0;
9;;2.238;min;3.3;0.0;-3.3;0.0;-0.6;-0.1;0.0;
9;5;4.500;max;3.1;0.3;3.1;0.1;2.1;0.4;0.0;
9;5;4.500;min;2.9;-0.3;-2.9;0.0;-1.2;-0.1;0.0;
9;5;4.500;max;3.1;0.3;3.1;0.1;2.1;0.4;0.0;
9;5;4.500;min;2.9;-0.3;-2.9;0.0;-1.2;-0.1;0.0;
Extremes;;2.238;u_X;4.4;0.5;4.3;0.0;0.6;0.1;0.0;CO25
9;5;4.500;u_X;2.9;-0.3;-2.9;0.0;-1.2;-0.1;0.0;CO34
9;;2.500;u_Y;4.5;0.4;4.4;0.1;0.4;0.1;0.0;CO35
9;;2.238;u_Y;3.3;0.0;-3.3;0.0;-0.6;-0.1;0.0;CO34
9;5;4.500;u_Z;3.1;0.3;3.1;0.1;2.1;0.4;0.0;CO25
9;10;0.000;u_Z;0.0;0.0;0.0;0.0;-2.3;-0.3;0.0;CO20
9;10;0.000;φ_X;0.0;0.0;0.0;0.0;2.7;0.0;0.0;CO35
9;10;0.000;φ_X;0.0;0.0;0.0;0.0;-2.3;-0.3;0.0;CO34
9;5;4.500;φ_Y;3.1;0.3;3.1;0.1;2.1;0.4;0.0;CO24
9;10;0.000;φ_Y;0.0;0.0;0.0;0.0;-2.3;-0.3;0.0;CO25
9;10;0.000;φ_Z;0.0;0.0;0.0;0.0;2.7;0.0;0.0;CO20
9;10;0.000;φ_Z;0.0;0.0;0.0;0.0;-2.3;-0.3;0.0;CO20
Total;;;;4.5;0.5;4.4;0.1;2.7;0.4;0.0;
9;;;;0.0;-0.3;-3.3;0.0;-2.3;-0.3;0.0;
;;;;;;;;;;;
10;11;0.000;max;0.0;0.0;0.0;0.0;0.3;2.2;0.0;
10;11;0.000;min;0.0;0.0;0.0;0.0;-0.3;0.0;0.0;
10;11;0.000;max;0.0;0.0;0.0;0.0;0.3;2.2;0.0;
10;11;0.000;min;0.0;0.0;0.0;0.0;-0.3;0.0;0.0;
10;;1.500;max;0.5;0.0;0.5;0.0;0.3;1.7;0.1;
10;;1.500;min;3.3;-3.3;-0.4;0.0;-0.3;-0.2;-0.2;
10;;1.500;max;0.5;0.0;0.5;0.0;0.3;1.7;0.1;
10;;1.500;min;3.3;-3.3;-0.4;0.0;-0.3;-0.2;-0.2;
10;12;4.000;max;2.0;1.5;1.3;0.1;0.4;-0.3;0.4;
10;12;4.000;min;5.1;-5.0;-1.1;0.1;-0.6;-2.0;-0.5;
10;12;4.000;max;2.0;1.5;1.3;0.1;0.4;-0.3;0.4;
10;12;4.000;min;5.1;-5.0;-1.1;0.1;-0.6;-2.0;-0.5;
Extremes;12;4.000;u_X;2.0;1.5;1.3;0.1;0.4;-0.3;0.4;CO31
10;;3.500;u_X;5.2;-5.2;-1.0;0.0;-0.5;-1.2;-0.4;CO34
10;12;4.000;u_Y;2.0;1.5;1.3;0.1;0.4;-0.3;0.4;CO35
10;12;4.000;u_Y;5.1;-5.0;-1.1;0.1;-0.6;-2.0;-0.5;CO37
10;12;4.000;u_Z;2.0;1.5;1.3;0.1;0.4;-0.3;0.4;CO27
10;11;0.000;u_Z;0.0;0.0;0.0;0.0;-0.3;0.0;0.0;CO20
10;12;4.000;φ_X;2.0;1.5;1.3;0.1;0.4;-0.3;0.4;CO35
10;12;4.000;φ_X;5.1;-5.0;-1.1;0.1;-0.6;-2.0;-0.5;CO38
10;11;0.000;φ_Y;0.0;0.0;0.0;0.0;0.3;2.2;0.0;CO24
10;12;4.000;φ_Y;5.1;-5.0;-1.1;0.1;-0.6;-2.0;-0.5;CO26
10;12;4.000;φ_Z;2.0;1.5;1.3;0.1;0.4;-0.3;0.4;CO35
10;12;4.000;φ_Z;5.1;-5.0;-1.1;0.1;-0.6;-2.0;-0.5;CO37
Total;;;;5.2;1.5;1.3;0.1;0.4;2.2;0.4;
10;;;;0.0;-5.2;-1.1;0.0;-0.6;-2.0;-0.5;
;;;;;;;;;;;
11;12;0.000;max;2.0;1.5;1.3;0.1;0.4;-0.3;0.4;
11;12;0.000;min;5.1;-5.0;-1.1;0.1;-0.6;-2.0;-0.5;
11;;0.825;max;3.3;1.6;1.7;2.4;2.1;-1.0;0.2;
11;;0.825;min;5.2;-4.9;-1.5;0.7;-2.6;-3.2;-0.2;
11;;0.825;max;3.3;1.6;1.7;2.4;2.1;-1.0;0.2;
11;;0.825;min;5.2;-4.9;-1.5;0.7;-2.6;-3.2;-0.2;
11;;1.005;max;3.8;1.7;1.8;3.0;2.4;-1.2;0.2;
11;;1.005;min;5.2;-4.9;-1.6;0.9;-3.1;-3.4;-0.2;
11;111;1.650;max;6.1;1.8;2.0;5.4;3.7;-1.5;0.0;
11;111;1.650;min;5.4;-4.7;-1.9;1.8;-4.7;-4.0;0.0;
Extremes;111;1.650;u_X;6.1;1.8;2.0;5.4;3.7;-1.5;0.0;CO31
11;12;0.000;u_X;5.1;-5.0;-1.1;0.1;-0.6;-2.0;-0.5;CO34
11;111;1.650;u_Y;6.1;1.8;2.0;5.4;3.7;-1.5;0.0;CO35
11;111;1.650;u_Y;5.4;-4.7;-1.9;1.8;-4.7;-4.0;0.0;CO37
11;111;1.650;u_Z;6.1;1.8;2.0;5.4;3.7;-1.5;0.0;CO26
11;12;0.000;u_Z;5.1;-5.0;-1.1;0.1;-0.6;-2.0;-0.5;CO30
11;111;1.650;φ_X;6.1;1.8;2.0;5.4;3.7;-1.5;0.0;CO35
11;111;1.650;φ_X;5.4;-4.7;-1.9;1.8;-4.7;-4.0;0.0;CO38
11;12;0.000;φ_Y;2.0;1.5;1.3;0.1;0.4;-0.3;0.4;CO29
11;111;1.650;φ_Y;5.4;-4.7;-1.9;1.8;-4.7;-4.0;0.0;CO26
11;12;0.000;φ_Z;2.0;1.5;1.3;0.1;0.4;-0.3;0.4;CO35
11;12;0.000;φ_Z;5.1;-5.0;-1.1;0.1;-0.6;-2.0;-0.5;CO37
Total;;;;6.1;1.8;2.0;5.4;3.7;-0.3;0.4;
11;;;;2.0;-5.0;-1.9;0.1;-4.7;-4.0;-0.5;
;;;;;;;;;;;
12;13;0.000;max;21.4;2.5;3.0;21.0;8.8;-1.9;0.8;
12;13;0.000;min;9.9;-3.7;-2.8;8.8;-9.7;-4.5;-0.7;
12;;0.787;max;24.8;2.6;3.0;24.4;8.4;-1.7;0.8;
12;;0.787;min;11.4;-3.4;-2.9;10.4;-9.2;-4.1;-0.8;
12;;0.787;max;24.8;2.6;3.0;24.4;8.4;-1.7;0.8;
12;;0.787;min;11.4;-3.4;-2.9;10.4;-9.2;-4.1;-0.8;
12;114;1.575;max;27.7;2.8;3.1;27.4;7.9;-1.4;0.8;
12;114;1.575;min;12.7;-3.2;-3.0;11.9;-8.8;-3.5;-0.7;
Extremes;114;1.575;u_X;27.7;2.8;3.1;27.4;7.9;-1.4;0.8;CO31
12;13;0.000;u_X;9.9;-3.7;-2.8;8.8;-9.7;-4.5;-0.7;CO34
12;114;1.575;u_Y;27.7;2.8;3.1;27.4;7.9;-1.4;0.8;CO35
12;114;1.575;u_Y;12.7;-3.2;-3.0;11.9;-8.8;-3.5;-0.7;CO37
12;114;1.575;u_Z;27.7;2.8;3.1;27.4;7.9;-1.4;0.8;CO27
12;13;0.000;u_Z;9.9;-3.7;-2.8;8.8;-9.7;-4.5;-0.7;CO29
12;13;0.000;φ_X;21.4;2.5;3.0;21.0;8.8;-1.9;0.8;CO35
12;13;0.000;φ_X;9.9;-3.7;-2.8;8.8;-9.7;-4.5;-0.7;CO38
12;114;1.575;φ_Y;27.7;2.8;3.1;27.4;7.9;-1.4;0.8;CO31
12;13;0.000;φ_Y;9.9;-3.7;-2.8;8.8;-9.7;-4.5;-0.7;CO28
12;;0.472;φ_Z;23.4;2.6;3.0;23.1;8.6;-1.8;0.8;CO38
12;;0.472;φ_Z;10.8;-3.5;-2.9;9.8;-9.4;-4.2;-0.8;CO30
Total;;;;27.7;2.8;3.1;27.4;8.8;-1.4;0.8;
12;;;;9.9;-3.7;-3.0;8.8;-9.7;-4.5;-0.8;
;;;;;;;;;;;
13;14;0.000;max;34.0;3.0;3.8;33.7;4.6;0.3;0.0;
13;14;0.000;min;15.2;-2.8;-3.7;14.5;-5.2;-0.2;0.0;
13;;0.075;max;34.0;3.0;3.7;33.7;4.7;0.3;0.0;
