Member No.;Line;;;Rotation;Section;;;Hinge;;Eccentricity;;Length;Volume;Mass;;;
;No.;Member Type;Section Distribution;β [deg] / Node No.;Start i;End j;Internal k;Start i;End j;Start i;End j;L [m];V [m^3 ];M [t];Position;Options;Comment
79;79;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV5;;
80;80;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV4;;
81;81;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV4;;
82;82;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV4;;
83;83;Tension;Uniform;0.00;5;5;5;;;--;--;7.088723439378914;0.004897599024267;0.038446152340495;In UV4;;
84;84;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999989450433;0.019057499878152;0.149601374043497;|| XZ;;
85;85;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999966644361;0.019057499614742;0.149601371975728;|| XZ;;
86;86;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.074937795077803;0.000865531533149;0.006794422535217;|| XZ;;
87;87;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.150000005398895;0.001732500062357;0.013600125489504;|| XZ;;
88;88;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999930273369;0.019057499194657;0.149601368678061;|| XZ;;
89;89;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.650000223034868;0.019057502576053;0.149601395222014;|| XZ;;
90;90;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.00000000000002;0.004275;0.03355875;|| Y;;
91;91;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.650000718929541;0.019057508303636;0.149601440183544;|| XZ;;
92;92;Beam;Uniform;5.71;4;4;4;3;2;3;4;5;0.004275;0.03355875;|| Y;;
93;93;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000054;0.004275;0.03355875;|| Y;;
94;94;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999624388442;0.019057495661687;0.149601340944239;|| XZ;;
95;95;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000036;0.004275;0.03355875;|| Y;;
96;96;Beam;Uniform;0.00;1;1;1;--;--;--;--;0.074937842856597;0.000865532084994;0.0067944268672;|| XZ;;
97;97;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000092;0.004275;0.033558750000001;|| Y;;
98;98;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999723892401;0.019057496810957;0.149601349966014;|| XZ;;
99;99;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000288;0.004275;0.033558750000002;|| Y;;
100;100;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999723892402;0.019057496810957;0.149601349966014;|| XZ;;
101;101;Beam;Uniform;5.71;4;4;4;2;2;3;4;5;0.004275;0.03355875;|| Y;;
102;102;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.00000000000002;0.004275;0.03355875;|| Y;;
103;103;Beam;Uniform;5.71;4;4;4;2;3;3;4;5;0.004275;0.03355875;|| Y;;
104;104;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000054;0.004275;0.03355875;|| Y;;
105;105;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000036;0.004275;0.03355875;|| Y;;
106;106;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000092;0.004275;0.033558750000001;|| Y;;
107;107;Beam;Uniform;5.71;4;4;4;2;2;3;4;5.000000000000288;0.004275;0.033558750000002;|| Y;;
108;108;Beam;Uniform;5.71;4;4;4;3;2;3;4;5;0.004275;0.03355875;|| Y;;
109;109;Beam;Uniform;0.00;1;1;1;--;--;--;--;1.649999723892402;0.019057496810957;0.149601349966014;|| XZ;;
