Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
5;153;0.075;;4.9;0.0;4.9;0.1;7.0;-0.5;0.2;Beam | 3 - HEA 140 | L : 0.075 m
Extremes;153;0.075;u_x;4.9;0.0;4.9;0.1;7.0;-0.5;0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;u_x;4.8;0.0;4.8;0.1;9.9;-0.3;0.1;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;u_y;4.9;0.0;4.9;0.1;7.0;-0.5;0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;u_y;4.8;0.0;4.8;0.1;9.9;-0.3;0.1;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;u_z;4.9;0.0;4.9;0.1;7.0;-0.5;0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;u_z;4.8;0.0;4.8;0.1;9.9;-0.3;0.1;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;φ_x;4.8;0.0;4.8;0.1;9.9;-0.3;0.1;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;φ_x;4.9;0.0;4.9;0.1;7.0;-0.5;0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;φ_y;4.8;0.0;4.8;0.1;9.9;-0.3;0.1;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;φ_y;4.9;0.0;4.9;0.1;7.0;-0.5;0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;153;0.075;φ_z;4.9;0.0;4.9;0.1;7.0;-0.5;0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;5;0.000;φ_z;4.8;0.0;4.8;0.1;9.9;-0.3;0.1;Beam | 3 - HEA 140 | L : 0.075 m
Total;;;;4.9;0.0;4.9;0.1;9.9;-0.3;0.2;Beam | 3 - HEA 140 | L : 0.075 m
5;;;;4.8;0.0;4.8;0.1;7.0;-0.5;0.1;Beam | 3 - HEA 140 | L : 0.075 m
;;;;;;;;;;;
6;7;0.000;;0.0;0.0;0.0;0.0;0.0;-1.6;2.2;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;;0.0;0.0;0.0;0.0;0.0;-1.6;2.2;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;3.3;0.0;2.6;1.9;1.2;-0.7;0.9;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.500;;3.3;0.0;2.6;1.9;1.2;-0.7;0.9;Beam | 2 - HEA 160 | L : 4.000 m
6;;1.738;;3.5;0.0;2.8;2.1;1.4;-0.4;0.6;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;;3.6;0.0;2.9;2.1;1.6;-0.1;0.3;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;;3.6;0.0;2.9;2.1;1.6;-0.1;0.3;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;1.4;0.0;1.4;0.3;3.2;1.7;-1.3;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;;1.4;0.0;1.4;0.3;3.2;1.7;-1.3;Beam | 2 - HEA 160 | L : 4.000 m
Extremes;7;0.000;u_x;0.0;0.0;0.0;0.0;0.0;-1.6;2.2;Beam | 2 - HEA 160 | L : 4.000 m
6;6;4.000;u_x;1.4;0.0;1.4;0.3;3.2;1.7;-1.3;Beam | 2 - HEA 160 | L : 4.000 m
6;;2.000;u_y;3.6;0.0;2.9;2.1;1.6;-0.1;0.3;Beam | 2 - HEA 160 | L : 4.000 m
6;7;0.000;u_y;0.0;0.0;0.0;0.0;0.0;-1.6;2.2;Beam | 2 - HEA 160 | L : 4.000 m
