No.;;;;;Load;Member Load Parameters;;;;;;;;;;;;;;;;;;
;Assigned to Members No.;Load Type;Load Distribution;Coordinate System;Direction;p [kN/m];;;;;;;;;;;;;;;;;Options;Comment
44;34;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
45;35;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
46;214;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
47;36;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
48;40;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
49;41;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
50;215;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
51;216;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
52;217;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
53;218;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
54;219;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
55;37;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
56;38;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
57;39;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
58;42;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
59;220;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
60;221;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
61;222;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
62;223;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
63;224;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
64;225;Force;Varying;3 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 25.000, -4.000 m | 19.553, 25.000, -3.106 m | 20.000, 24.000, -4.000 m;W_L;;;;;;;;;;;;;;;;;;;
65;4;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
66;13;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
67;19;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
68;25;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
69;31;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
70;37;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
71;53;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
72;54;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
73;55;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
74;56;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
75;57;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
76;107;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
77;121;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
78;122;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
79;123;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
80;133;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
81;135;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
82;142;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
83;159;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
84;161;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
85;168;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
86;185;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
87;187;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
88;194;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
89;211;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
90;213;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
91;220;Force;Varying;4 - 3 Points | Load Wizard | Wind Load No. 1 | 20.000, 0.000, -4.000 m | 19.629, 0.928, -4.037 m | 19.900, 0.000, -3.005 m;W_L;;;;;;;;;;;;;;;;;;;
92;35;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
93;47;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
94;200;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
95;2;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
96;43;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
97;174;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
98;11;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
99;17;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
100;23;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
101;29;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
102;43;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
103;44;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
104;45;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
105;46;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
106;47;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
107;90;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
108;101;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
109;148;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
110;174;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
111;200;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
112;2;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
113;3;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
114;11;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
115;12;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
116;17;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
117;18;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
118;23;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
119;24;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
120;29;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
121;30;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
122;35;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
123;36;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
124;48;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
125;49;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
126;50;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
127;51;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
128;52;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
129;53;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
130;54;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
131;55;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
132;56;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
133;57;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
134;84;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
135;85;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
136;86;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
137;87;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
138;88;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
139;89;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
140;91;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
141;93;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
142;94;Force;Varying;5 - 3 Points | Load Wizard | Wind Load No. 1 | 10.000, 0.000, -5.000 m | 9.960, 0.999, -4.996 m | 10.100, 0.000, -4.005 m;W_L;;;;;;;;;;;;;;;;;;;
