Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Corresponding Loading
6;7;0.000;min;0.0;0.0;0.0;0.0;0.0;-1.6;-3.1;
6;7;0.000;max;0.0;0.0;0.0;0.0;0.0;0.4;2.2;
6;7;0.000;min;0.0;0.0;0.0;0.0;0.0;-1.6;-3.1;
6;;1.500;max;3.3;0.0;2.6;1.9;1.2;0.1;0.9;
6;;1.500;min;3.5;0.0;-3.5;-0.4;-1.3;-0.7;-1.0;
6;;1.500;max;3.3;0.0;2.6;1.9;1.2;0.1;0.9;
6;;1.500;min;3.5;0.0;-3.5;-0.4;-1.3;-0.7;-1.0;
6;;1.738;max;3.5;0.0;2.8;2.1;1.4;0.0;0.6;
6;;1.738;min;3.7;0.0;-3.7;-0.5;-1.5;-0.4;-0.5;
6;;2.000;max;3.6;0.0;2.9;2.1;1.6;0.0;0.3;
6;;2.000;min;3.7;0.0;-3.7;-0.5;-1.7;-0.2;-0.2;
6;;2.000;max;3.6;0.0;2.9;2.1;1.6;0.0;0.3;
6;;2.000;min;3.7;0.0;-3.7;-0.5;-1.7;-0.2;-0.2;
6;;2.190;max;3.6;0.0;2.9;2.1;1.7;0.1;0.5;
6;;2.190;min;3.7;0.0;-3.7;-0.4;-1.8;-0.1;-0.1;
6;6;4.000;max;1.5;0.0;1.4;0.5;3.2;1.8;2.7;
6;6;4.000;min;1.2;0.0;-1.1;-0.3;-3.3;0.1;-1.3;
6;6;4.000;max;1.5;0.0;1.4;0.5;3.2;1.8;2.7;
6;6;4.000;min;1.2;0.0;-1.1;-0.3;-3.3;0.1;-1.3;
Extremes;7;0.000;u_x;0.0;0.0;0.0;0.0;0.0;0.4;2.2;CO20
6;6;4.000;u_x;1.2;0.0;-1.1;-0.3;-3.3;0.1;-1.3;CO24
6;;2.000;u_y;3.6;0.0;2.9;2.1;1.6;0.0;0.3;CO35
6;;2.000;u_y;3.7;0.0;-3.7;-0.5;-1.7;-0.2;-0.2;CO34
6;;2.000;u_z;3.6;0.0;2.9;2.1;1.6;0.0;0.3;CO35
6;;1.738;u_z;3.7;0.0;-3.7;-0.5;-1.5;-0.4;-0.5;CO29
6;6;4.000;φ_x;1.5;0.0;1.4;0.5;3.2;1.8;2.7;CO35
6;6;4.000;φ_x;1.2;0.0;-1.1;-0.3;-3.3;0.1;-1.3;CO34
6;6;4.000;φ_y;1.5;0.0;1.4;0.5;3.2;1.8;2.7;CO25
6;7;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;-1.6;-3.1;CO35
6;6;4.000;φ_z;1.5;0.0;1.4;0.5;3.2;1.8;2.7;CO34
6;7;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;-1.6;-3.1;CO34
Total;;;;3.7;0.0;2.9;2.1;3.2;1.8;2.7;
6;;;;0.0;0.0;-3.7;-0.5;-3.3;-1.6;-3.1;
;;;;;;;;;;;
7;8;0.000;max;0.0;0.0;0.0;0.0;0.0;2.7;0.4;
7;8;0.000;min;0.0;0.0;0.0;0.0;0.0;-2.3;0.0;
7;8;0.000;max;0.0;0.0;0.0;0.0;0.0;2.7;0.4;
7;8;0.000;min;0.0;0.0;0.0;0.0;0.0;-2.3;0.0;
7;;1.738;max;3.0;0.0;0.5;3.0;0.0;1.3;0.1;
7;;1.738;min;3.9;0.0;0.0;-3.9;0.0;-0.9;0.0;
7;;2.238;max;3.2;0.0;0.6;3.2;0.0;0.6;0.1;
7;;2.238;min;4.3;-0.1;0.0;-4.3;0.0;-0.6;0.0;
7;3;4.500;max;2.9;0.0;0.3;2.9;0.0;2.0;0.1;
7;3;4.500;min;3.1;-0.1;-0.2;-3.1;0.0;-1.2;-0.4;
7;3;4.500;max;2.9;0.0;0.3;2.9;0.0;2.0;0.1;
7;3;4.500;min;3.1;-0.1;-0.2;-3.1;0.0;-1.2;-0.4;
Extremes;8;0.000;u_x;0.0;0.0;0.0;0.0;0.0;2.7;0.4;CO20
7;3;4.500;u_x;3.1;-0.1;-0.2;-3.1;0.0;-1.2;-0.4;CO24
7;;2.250;u_y;3.2;0.0;0.6;3.2;0.0;0.6;0.1;CO25
7;3;4.500;u_y;3.1;-0.1;-0.2;-3.1;0.0;-1.2;-0.4;CO34
7;;2.238;u_z;3.2;0.0;0.6;3.2;0.0;0.6;0.1;CO31
7;;2.500;u_z;4.4;-0.1;0.0;-4.4;0.0;-0.5;-0.1;CO35
7;8;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;2.7;0.4;CO20
7;8;0.000;φ_x;0.0;0.0;0.0;0.0;0.0;-2.3;0.0;CO20
7;8;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;2.7;0.4;CO35
7;8;0.000;φ_y;0.0;0.0;0.0;0.0;0.0;-2.3;0.0;CO31
7;8;0.000;φ_z;0.0;0.0;0.0;0.0;0.0;2.7;0.4;CO24
7;3;4.500;φ_z;3.1;-0.1;-0.2;-3.1;0.0;-1.2;-0.4;CO24
Total;;;;4.4;0.0;0.6;3.2;0.0;2.7;0.4;
