FE Node No.;Coordinates;;;
;X [m];Y [m];Z [m];
346;13.432878464144;20;-4.6567121535856;
347;11.791067;25;-4.820895;
348;11.7910668783695;20;-4.82089331216305;
349;9.8507444160964;20;-4.98507444160964;
350;9.850744;25;-4.985077;
351;10.149256;25;-4.985077;
352;10.1492555839036;20;-4.98507444160964;
353;5;25;-3;
354;5;25;-3.5;
355;5;25;-4;
356;0;0;-2.5;
357;10;25;-0.5;
358;10;25;-1;
359;10;25;-1.5;
360;10;25;-2;
361;10;25;-2.5;
362;10;25;-3;
363;10;25;-3.5;
364;10;25;-4;
365;10;25;-4.5;
366;0;0;-3;
367;15;25;-0.5;
368;15;25;-1;
369;15;25;-1.5;
370;15;25;-2;
371;15;25;-2.5;
372;15;25;-3;
373;15;25;-3.5;
374;15;25;-4;
375;0;0.5;-4;
376;0;1;-4;
377;0;1.5;-4;
378;0;2;-4;
379;0;2.5;-4;
380;0;3;-4;
381;0;3.5;-4;
382;0;4;-4;
383;0;4.5;-4;
384;0;5.5;-4;
385;0;6;-4;
386;0;6.5;-4;
387;0;7;-4;
388;0;7.5;-4;
389;0;8;-4;
390;0;8.5;-4;
391;0;9;-4;
392;0;9.5;-4;
393;0;10.5;-4;
394;0;11;-4;
395;0;11.5;-4;
396;0;12;-4;
397;0;12.5;-4;
398;0;13;-4;
399;0;13.5;-4;
400;0;14;-4;
401;0;14.5;-4;
402;0;15.5;-4;
403;0;16;-4;
404;0;16.5;-4;
405;0;17;-4;
406;0;17.5;-4;
407;0;18;-4;
408;0;18.5;-4;
409;0;19;-4;
410;0;19.5;-4;
411;0;20.5;-4;
412;0;21;-4;
413;0;21.5;-4;
414;0;22;-4;
415;0;22.5;-4;
416;0;23;-4;
417;0;23.5;-4;
418;0;24;-4;
419;0;24.5;-4;
420;5;0.5;-4.5;
421;5;1;-4.5;
422;5;1.5;-4.5;
423;5;2;-4.5;
424;5;2.5;-4.5;
425;5;3;-4.5;
426;5;3.5;-4.5;
427;5;4;-4.5;
428;5;4.5;-4.5;
429;5;5.5;-4.5;
430;5;6;-4.5;
431;5;6.5;-4.5;
432;5;7;-4.5;
433;5;7.5;-4.5;
434;5;8;-4.5;
435;5;8.5;-4.5;
436;5;9;-4.5;
437;5;9.5;-4.5;
438;5;10.5;-4.5;
439;5;11;-4.5;
440;5;11.5;-4.5;
441;5;12;-4.5;
442;5;12.5;-4.5;
443;5;13;-4.5;
444;5;13.5;-4.5;
445;5;14;-4.5;
446;5;14.5;-4.5;
447;5;15.5;-4.5;
448;5;16;-4.5;
449;5;16.5;-4.5;
450;5;17;-4.5;
451;5;17.5;-4.5;
452;5;18;-4.5;
453;5;18.5;-4.5;
454;5;19;-4.5;
455;5;19.5;-4.5;
456;5;20.5;-4.5;
457;5;21;-4.5;
458;5;21.5;-4.5;
459;5;22;-4.5;
460;5;22.5;-4.5;
461;5;23;-4.5;
462;5;23.5;-4.5;
463;5;24;-4.5;
464;5;24.5;-4.5;
465;10;0.5;-5;
466;10;1;-5;
467;10;1.5;-5;
468;10;2;-5;
469;10;2.5;-5;
470;10;3;-5;
471;10;3.5;-5;
472;10;4;-5;
473;10;4.5;-5;
474;10;5.5;-5;
475;10;6;-5;
476;10;6.5;-5;
477;10;7;-5;
478;10;7.5;-5;
479;10;8;-5;
