Member No.;Node;;Displacements [mm];;;;Rotations [mrad];;;
;No.;;|u|;u_x;u_y;u_z;φ_x;φ_y;φ_z;
132;73;Min.;0.0;0.0;0.0;0.0;0.0;-18.6;-28.0;
132;98;Max.;0.0;0.0;0.0;0.0;0.0;9.5;-6.6;
132;98;Min.;0.0;0.0;0.0;0.0;0.0;-18.8;-28.0;
133;74;Max.;0.0;0.0;0.0;0.0;0.0;6.5;-7.4;
133;74;Min.;0.0;0.0;0.0;0.0;0.0;-16.7;-27.6;
133;99;Max.;0.0;0.0;0.0;0.0;0.0;7.6;-7.1;
133;99;Min.;0.0;0.0;0.0;0.0;0.0;-16.9;-27.7;
134;89;Max.;0.0;0.0;0.0;0.0;0.0;6.4;-4.7;
134;89;Min.;0.0;0.0;0.0;0.0;0.0;-12.1;-17.7;
134;63;Max.;0.0;0.0;0.0;0.0;0.0;5.4;-4.9;
134;63;Min.;0.0;0.0;0.0;0.0;0.0;-11.9;-17.7;
135;76;Max.;0.0;0.0;0.0;0.0;0.0;5.4;-4.9;
135;76;Min.;0.0;0.0;0.0;0.0;0.0;-11.8;-17.7;
135;100;Max.;0.0;0.0;0.0;0.0;0.0;6.4;-4.8;
135;100;Min.;0.0;0.0;0.0;0.0;0.0;-12.1;-17.7;
148;111;Max.;0.0;0.0;0.0;0.0;0.0;2.3;-8.6;
148;111;Min.;0.0;0.0;0.0;0.0;0.0;-13.6;-27.1;
148;83;Max.;0.0;0.0;0.0;0.0;0.0;2.8;-8.4;
148;83;Min.;0.0;0.0;0.0;0.0;0.0;-13.1;-27.2;
149;12;Max.;0.0;0.0;0.0;0.0;0.0;-1.1;-4.5;
149;12;Min.;0.4;-0.4;0.0;0.0;0.0;-5.6;-14.0;
149;19;Max.;0.0;0.0;0.0;0.0;0.0;-1.0;-4.5;
149;19;Min.;0.0;0.0;0.0;0.0;0.0;-5.2;-14.0;
150;112;Max.;0.0;0.0;0.0;0.0;0.0;6.3;-7.5;
150;112;Min.;0.0;0.0;0.0;0.0;0.0;-17.1;-27.6;
150;84;Max.;0.0;0.0;0.0;0.0;0.0;6.9;-7.3;
150;84;Min.;0.0;0.0;0.0;0.0;0.0;-16.4;-27.7;
151;113;Max.;0.0;0.0;0.0;0.0;0.0;9.5;-7.0;
151;113;Min.;0.0;0.0;0.0;0.0;0.0;-20.2;-28.1;
151;85;Max.;0.0;0.0;0.0;0.0;0.0;10.0;-6.4;
151;85;Min.;0.0;0.0;0.0;0.0;0.0;-19.6;-28.9;
152;114;Max.;0.0;0.0;0.0;0.0;0.0;7.9;-6.9;
152;114;Min.;0.0;0.0;0.0;0.0;0.0;-18.7;-28.0;
152;86;Max.;0.0;0.0;0.0;0.0;0.0;8.5;-6.7;
152;86;Min.;0.0;0.0;0.0;0.0;0.0;-18.0;-28.0;
153;115;Max.;0.0;0.0;0.0;0.0;0.0;5.7;-7.4;
153;115;Min.;0.0;0.0;0.0;0.0;0.0;-16.4;-27.7;
153;87;Max.;0.0;0.0;0.0;0.0;0.0;6.3;-7.3;
153;87;Min.;0.0;0.0;0.0;0.0;0.0;-15.8;-27.6;
154;95;Max.;0.0;0.0;0.0;0.0;0.0;2.8;-8.4;
154;95;Min.;0.0;0.0;0.0;0.0;0.0;-13.0;-27.2;
154;123;Max.;0.0;0.0;0.0;0.0;0.0;2.2;-8.6;
154;123;Min.;0.0;0.0;0.0;0.0;0.0;-13.6;-27.1;
155;23;Max.;0.0;0.0;0.0;0.0;0.0;-1.0;-4.5;
155;23;Min.;0.0;0.0;0.0;0.0;0.0;-5.2;-14.0;
155;16;Max.;0.0;0.0;0.0;0.0;0.0;-1.1;-4.5;
155;16;Min.;0.4;-0.4;0.0;0.0;0.0;-5.6;-14.0;
156;96;Max.;0.0;0.0;0.0;0.0;0.0;6.7;-7.3;
156;96;Min.;0.0;0.0;0.0;0.0;0.0;-16.3;-27.6;
156;124;Max.;0.0;0.0;0.0;0.0;0.0;6.1;-7.6;
156;124;Min.;0.0;0.0;0.0;0.0;0.0;-16.9;-27.6;
157;97;Max.;0.0;0.0;0.0;0.0;0.0;9.7;-6.5;
157;97;Min.;0.0;0.0;0.0;0.0;0.0;-19.3;-28.8;
157;125;Max.;0.0;0.0;0.0;0.0;0.0;9.2;-7.1;
157;125;Min.;0.0;0.0;0.0;0.0;0.0;-19.9;-28.1;
158;98;Max.;0.0;0.0;0.0;0.0;0.0;8.3;-6.7;
158;98;Min.;0.0;0.0;0.0;0.0;0.0;-17.8;-28.0;
158;126;Max.;0.0;0.0;0.0;0.0;0.0;7.7;-6.9;
158;126;Min.;0.0;0.0;0.0;0.0;0.0;-18.5;-28.0;
159;99;Max.;0.0;0.0;0.0;0.0;0.0;6.2;-7.3;
159;99;Min.;0.0;0.0;0.0;0.0;0.0;-15.7;-27.6;
159;127;Max.;0.0;0.0;0.0;0.0;0.0;5.6;-7.4;
159;127;Min.;0.0;0.0;0.0;0.0;0.0;-16.3;-27.7;
160;117;Max.;0.0;0.0;0.0;0.0;0.0;4.4;-5.0;
160;117;Min.;0.0;0.0;0.0;0.0;0.0;-11.2;-17.7;
160;89;Max.;0.0;0.0;0.0;0.0;0.0;4.8;-4.9;
160;89;Min.;0.0;0.0;0.0;0.0;0.0;-10.7;-17.8;
161;100;Max.;0.0;0.0;0.0;0.0;0.0;4.8;-4.9;
161;100;Min.;0.0;0.0;0.0;0.0;0.0;-10.7;-17.8;
161;128;Max.;0.0;0.0;0.0;0.0;0.0;4.4;-5.0;
161;128;Min.;0.0;0.0;0.0;0.0;0.0;-11.2;-17.7;
174;139;Max.;0.0;0.0;0.0;0.0;0.0;24.6;-2.1;
174;139;Min.;0.0;0.0;0.0;0.0;0.0;-22.0;-30.0;
174;111;Max.;0.0;0.0;0.0;0.0;0.0;4.0;-8.4;
174;111;Min.;0.0;0.0;0.0;0.0;0.0;-12.2;-27.5;
175;2;Max.;1.0;1.0;0.0;0.0;0.0;1.6;-0.1;
175;2;Min.;1.6;-1.6;0.0;0.0;0.0;-5.7;-16.1;
175;12;Max.;0.0;0.0;0.0;0.0;0.0;-0.9;-4.4;
175;12;Min.;0.0;0.0;0.0;0.0;0.0;-5.1;-14.9;
176;140;Max.;0.0;0.0;0.0;0.0;0.0;20.3;-6.6;
176;140;Min.;0.0;0.0;0.0;0.0;0.0;-17.7;-27.7;
176;112;Max.;0.0;0.0;0.0;0.0;0.0;9.2;-7.0;
176;112;Min.;0.0;0.0;0.0;0.0;0.0;-14.3;-27.3;
177;141;Max.;0.0;0.0;0.0;0.0;0.0;4.9;-7.7;
177;141;Min.;0.0;0.0;0.0;0.0;0.0;-23.9;-28.5;
177;113;Max.;0.0;0.0;0.0;0.0;0.0;13.9;-5.6;
177;113;Min.;0.0;0.0;0.0;0.0;0.0;-15.6;-28.4;
178;142;Max.;0.0;0.0;0.0;0.0;0.0;4.8;-6.8;
178;142;Min.;0.0;0.0;0.0;0.0;0.0;-22.3;-28.3;
178;114;Max.;0.0;0.0;0.0;0.0;0.0;13.5;-5.9;
178;114;Min.;0.0;0.0;0.0;0.0;0.0;-13.1;-27.1;
179;143;Max.;0.0;0.0;0.0;0.0;0.0;7.3;-8.1;
179;143;Min.;0.0;0.0;0.0;0.0;0.0;-22.3;-28.8;
179;115;Max.;0.0;0.0;0.0;0.0;0.0;12.0;-6.4;
179;115;Min.;0.0;0.0;0.0;0.0;0.0;-10.4;-26.6;
180;123;Max.;0.0;0.0;0.0;0.0;0.0;4.0;-8.4;
180;123;Min.;0.0;0.0;0.0;0.0;0.0;-12.2;-27.7;
180;151;Max.;0.0;0.0;0.0;0.0;0.0;25.5;-1.9;
180;151;Min.;0.0;0.0;0.0;0.0;0.0;-22.6;-29.9;
181;16;Max.;0.0;0.0;0.0;0.0;0.0;-0.9;-4.5;
181;16;Min.;0.0;0.0;0.0;0.0;0.0;-5.1;-15.0;
181;6;Max.;0.8;0.8;0.0;0.0;0.0;1.7;-0.1;
181;6;Min.;1.3;-1.3;0.0;0.0;0.0;-5.8;-15.8;
182;124;Max.;0.0;0.0;0.0;0.0;0.0;9.1;-7.1;
182;124;Min.;0.0;0.0;0.0;0.0;0.0;-14.1;-27.5;
182;152;Max.;0.0;0.0;0.0;0.0;0.0;20.5;-6.6;
182;152;Min.;0.0;0.0;0.0;0.0;0.0;-17.9;-27.5;
183;125;Max.;0.0;0.0;0.0;0.0;0.0;13.7;-5.7;
183;125;Min.;0.0;0.0;0.0;0.0;0.0;-15.3;-28.6;
183;153;Max.;0.0;0.0;0.0;0.0;0.0;4.7;-7.6;
183;153;Min.;0.0;0.0;0.0;0.0;0.0;-23.8;-28.5;
184;126;Max.;0.0;0.0;0.0;0.0;0.0;13.3;-6.0;
184;126;Min.;0.0;0.0;0.0;0.0;0.0;-12.9;-27.3;
184;154;Max.;0.0;0.0;0.0;0.0;0.0;4.8;-6.8;
184;154;Min.;0.0;0.0;0.0;0.0;0.0;-22.3;-28.3;
185;127;Max.;0.0;0.0;0.0;0.0;0.0;11.9;-6.5;
185;127;Min.;0.0;0.0;0.0;0.0;0.0;-10.3;-26.7;
185;155;Max.;0.0;0.0;0.0;0.0;0.0;7.1;-8.2;
185;155;Min.;0.0;0.0;0.0;0.0;0.0;-22.4;-28.7;
186;145;Max.;0.0;0.0;0.0;0.0;0.0;-0.2;-5.4;
186;145;Min.;0.0;0.0;0.0;0.0;0.0;-19.9;-18.1;
186;117;Max.;0.0;0.0;0.0;0.0;0.0;11.8;-4.1;
186;117;Min.;0.0;0.0;0.0;0.0;0.0;-5.5;-17.2;
187;128;Max.;0.0;0.0;0.0;0.0;0.0;11.8;-4.2;
187;128;Min.;0.0;0.0;0.0;0.0;0.0;-5.5;-17.2;
