No.;;;;;Load;Member Load Parameters;;;;;;;;;;;;;;;;;;
;Assigned to Members No.;Load Type;Load Distribution;Coordinate System;Direction;p [kN/m];;;;;;;;;;;;;;;;;Options;Comment
56;157;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
57;158;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
58;159;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
59;180;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
60;181;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
61;182;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
62;183;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
63;184;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
64;185;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
65;206;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
66;207;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
67;208;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
68;209;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
69;210;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
70;211;Force;Varying;1 - Global XYZ;Z_L;;;;;;;;;;;;;;;;;;;
