Section No.;Member;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Corresponding Loading
1;11;;1.005;V_y;-41.41;0.24;38.88;0.11;-83.84;0.07;CO35
1;11;;1.005;V_y;-35.04;-0.34;41.77;-0.14;-94.68;-0.08;CO37
1;11;;1.005;V_z;-48.50;-0.23;55.57;-0.07;-124.66;-0.13;CO28
1;11;;1.005;V_z;-28.37;0.21;24.42;0.12;-52.28;0.00;CO30
1;11;;1.005;M_T;-28.37;0.21;24.42;0.12;-52.28;0.00;CO30
1;11;;1.005;M_T;-22.07;-0.30;27.34;-0.15;-63.20;0.01;CO32
1;11;;1.005;M_y;-26.83;0.02;24.44;0.01;-44.60;-0.01;CO31
1;11;;1.005;M_y;-51.49;0.00;55.36;0.00;-128.33;0.00;CO24
1;11;;1.005;M_z;-52.41;0.17;53.75;0.06;-117.17;0.09;CO25
1;11;;1.005;M_z;-48.50;-0.23;55.57;-0.07;-124.66;-0.13;CO28
1;11;111;1.650;N;-21.95;-0.33;26.82;-0.16;-46.29;0.11;CO33
1;11;111;1.650;N;-52.32;0.21;53.20;0.07;-82.67;0.05;CO25
1;11;111;1.650;V_y;-41.34;0.29;38.31;0.12;-58.95;-0.01;CO35
1;11;111;1.650;V_y;-34.96;-0.40;41.20;-0.15;-67.92;0.03;CO37
1;11;111;1.650;V_z;-48.41;-0.28;55.02;-0.08;-88.99;-0.06;CO28
1;11;111;1.650;V_z;-28.31;0.24;23.85;0.13;-36.71;-0.09;CO30
1;11;111;1.650;M_T;-28.31;0.24;23.85;0.13;-36.71;-0.09;CO30
1;11;111;1.650;M_T;-22.00;-0.34;26.77;-0.16;-45.75;0.13;CO32
1;11;111;1.650;M_y;-26.77;0.02;23.86;0.01;-29.02;-0.02;CO31
1;11;111;1.650;M_y;-51.40;0.00;54.82;0.00;-92.79;0.00;CO24
1;11;111;1.650;M_z;-22.00;-0.34;26.77;-0.16;-45.75;0.13;CO32
1;11;111;1.650;M_z;-28.31;0.24;23.85;0.13;-36.71;-0.09;CO30
1;12;13;0.000;N;-8.18;0.12;13.26;0.04;22.52;0.57;CO32
1;12;13;0.000;N;-52.73;-0.02;23.03;-0.02;45.55;-0.46;CO25
