Member No.;Major Axis y/u;;;;;Minor Axis z/v;;;;;
;Under Stress;Length L [m];k_y/u [--];i_y/u [mm];λ_y/u [--];Under Stress;Length L [m];k_z/v [--];i_z/v [mm];λ_z/v [--];Comment
208;Compression / Flexure;5.000;1.00;88.6;56.4;Compression / Flexure;5.000;1.00;17.3;289.3;
209;Compression / Flexure;5.000;1.00;88.6;56.4;Compression / Flexure;5.000;1.00;17.3;289.3;
210;Compression / Flexure;5.000;1.00;88.6;56.4;Compression / Flexure;5.000;1.00;17.3;289.3;
211;Compression / Flexure;5.000;1.00;88.6;56.4;Compression / Flexure;5.000;1.00;17.3;289.3;
212;Compression / Flexure;5.000;1.00;88.6;56.4;Compression / Flexure;5.000;1.00;17.3;289.3;
213;Compression / Flexure;5.000;1.00;88.6;56.4;Compression / Flexure;5.000;1.00;17.3;289.3;
214;Compression / Flexure;1.650;1.00;57.3;28.8;Compression / Flexure;1.650;1.00;35.2;46.9;No effective lengths assigned.
215;Compression / Flexure;1.650;1.00;57.3;28.8;Compression / Flexure;1.650;1.00;35.2;46.9;No effective lengths assigned.
216;Compression / Flexure;0.075;1.00;57.3;1.3;Compression / Flexure;0.075;1.00;35.2;2.1;No effective lengths assigned.
217;Compression / Flexure;1.650;1.00;57.3;28.8;Compression / Flexure;1.650;1.00;35.2;46.9;No effective lengths assigned.
218;Compression / Flexure;1.650;1.00;57.3;28.8;Compression / Flexure;1.650;1.00;35.2;46.9;No effective lengths assigned.
219;Compression / Flexure;0.150;1.00;57.3;2.6;Compression / Flexure;0.150;1.00;35.2;4.3;No effective lengths assigned.
220;Compression / Flexure;1.650;1.00;57.3;28.8;Compression / Flexure;1.650;1.00;35.2;46.9;No effective lengths assigned.
221;Compression / Flexure;1.650;1.00;57.3;28.8;Compression / Flexure;1.650;1.00;35.2;46.9;No effective lengths assigned.
222;Compression / Flexure;1.575;1.00;57.3;27.5;Compression / Flexure;1.575;1.00;35.2;44.7;No effective lengths assigned.
223;Compression / Flexure;1.650;1.00;57.3;28.8;Compression / Flexure;1.650;1.00;35.2;46.9;No effective lengths assigned.
224;Compression / Flexure;1.650;1.00;57.3;28.8;Compression / Flexure;1.650;1.00;35.2;46.9;No effective lengths assigned.
225;Compression / Flexure;1.650;1.00;57.3;28.8;Compression / Flexure;1.650;1.00;35.2;46.9;No effective lengths assigned.
