Member No.;Node;;Forces [kN];;;Moments [kNm];;;
151;85;;2.17;-0.42;-4.27;0.00;0.00;0.00;
152;114;;0.29;0.42;4.29;0.00;0.00;0.00;
152;86;;0.29;-0.42;-4.29;0.00;0.00;0.00;
153;115;;0.33;0.42;4.30;0.00;0.00;0.00;
153;87;;0.33;-0.42;-4.30;0.00;0.00;0.00;
154;95;;0.36;0.42;4.25;0.00;0.00;0.00;
154;123;;0.36;-0.42;-4.25;0.00;0.00;0.00;
155;23;;0.00;0.22;2.24;0.00;0.00;0.00;
155;16;;0.00;-0.22;-2.24;0.00;0.00;0.00;
156;96;;0.22;0.42;4.25;0.00;0.00;0.00;
156;124;;0.22;-0.42;-4.25;0.00;0.00;0.00;
157;97;;1.23;0.42;4.25;0.00;0.00;0.00;
157;125;;1.23;-0.42;-4.25;0.00;0.00;0.00;
158;98;;0.18;0.42;4.25;0.00;0.00;0.00;
158;126;;0.18;-0.42;-4.25;0.00;0.00;0.00;
159;99;;0.12;0.42;4.26;0.00;0.00;0.00;
159;127;;0.12;-0.42;-4.26;0.00;0.00;0.00;
160;117;;0.35;0.26;2.63;0.00;0.00;0.00;
160;89;;0.35;-0.26;-2.63;0.00;0.00;0.00;
161;100;;0.28;0.26;2.95;0.00;0.00;0.00;
161;128;;0.28;-0.26;-2.95;0.00;0.00;0.00;
174;139;;0.62;0.42;4.30;0.00;0.00;0.00;
174;111;;0.62;-0.43;-4.30;0.00;0.00;0.00;
175;2;;0.00;0.22;2.24;0.00;0.00;0.00;
175;12;;0.00;-0.22;-2.24;0.00;0.00;0.00;
176;140;;0.37;0.42;4.30;0.00;0.00;0.00;
176;112;;0.37;-0.42;-4.29;0.00;0.00;0.00;
177;141;;2.21;0.42;4.28;0.00;0.00;0.00;
177;113;;2.21;-0.43;-4.26;0.00;0.00;0.00;
178;142;;0.26;0.42;4.30;0.00;0.00;0.00;
178;114;;0.26;-0.42;-4.29;0.00;0.00;0.00;
179;143;;0.31;0.42;4.30;0.00;0.00;0.00;
179;115;;0.31;-0.42;-4.29;0.00;0.00;0.00;
180;123;;0.35;0.42;4.25;0.00;0.00;0.00;
180;151;;0.35;-0.43;-4.25;0.00;0.00;0.00;
181;16;;0.00;0.22;2.24;0.00;0.00;0.00;
181;6;;0.00;-0.22;-2.24;0.00;0.00;0.00;
182;124;;0.21;0.42;4.25;0.00;0.00;0.00;
182;152;;0.21;-0.42;-4.25;0.00;0.00;0.00;
183;125;;1.26;0.42;4.24;0.00;0.00;0.00;
183;153;;1.26;-0.43;-4.25;0.00;0.00;0.00;
184;126;;0.16;0.42;4.25;0.00;0.00;0.00;
184;154;;0.16;-0.42;-4.25;0.00;0.00;0.00;
185;127;;0.10;0.42;4.26;0.00;0.00;0.00;
185;155;;0.10;-0.42;-4.26;0.00;0.00;0.00;
186;145;;0.32;0.26;2.63;0.00;0.00;0.00;
186;117;;0.32;-0.26;-2.63;0.00;0.00;0.00;
187;128;;0.24;0.26;2.95;0.00;0.00;0.00;
187;156;;0.24;-0.26;-2.95;0.00;0.00;0.00;
200;49;;0.64;0.43;4.30;0.00;0.00;0.00;
200;116;;0.64;-0.42;-4.30;0.00;0.00;0.00;
201;33;;0.00;0.22;2.24;0.00;0.00;0.00;
201;40;;0.00;-0.22;-2.24;0.00;0.00;0.00;
202;50;;0.37;0.42;4.29;0.00;0.00;0.00;
202;118;;0.37;-0.42;-4.30;0.00;0.00;0.00;
203;51;;2.21;0.43;4.26;0.00;0.00;0.00;
203;119;;2.21;-0.42;-4.28;0.00;0.00;0.00;
204;54;;0.26;0.42;4.29;0.00;0.00;0.00;
204;120;;0.26;-0.42;-4.30;0.00;0.00;0.00;
205;53;;0.31;0.42;4.29;0.00;0.00;0.00;
205;121;;0.31;-0.42;-4.30;0.00;0.00;0.00;
206;129;;0.36;0.43;4.25;0.00;0.00;0.00;
206;64;;0.36;-0.42;-4.25;0.00;0.00;0.00;
207;44;;0.00;0.22;2.24;0.00;0.00;0.00;
207;37;;0.00;-0.22;-2.24;0.00;0.00;0.00;
208;130;;0.21;0.42;4.25;0.00;0.00;0.00;
208;65;;0.21;-0.42;-4.25;0.00;0.00;0.00;
209;131;;1.26;0.43;4.25;0.00;0.00;0.00;
209;66;;1.26;-0.42;-4.24;0.00;0.00;0.00;
210;132;;0.16;0.42;4.25;0.00;0.00;0.00;
210;68;;0.16;-0.42;-4.25;0.00;0.00;0.00;
211;133;;0.10;0.42;4.26;0.00;0.00;0.00;
211;67;;0.10;-0.42;-4.26;0.00;0.00;0.00;
212;52;;0.32;0.26;2.63;0.00;0.00;0.00;
212;122;;0.32;-0.26;-2.63;0.00;0.00;0.00;
213;134;;0.24;0.26;2.95;0.00;0.00;0.00;
213;62;;0.24;-0.26;-2.95;0.00;0.00;0.00;
Total;;;2.21;0.43;4.88;0.00;0.00;0.00;
max/min;;;-20.84;-0.43;-4.73;0.00;0.00;0.00;
