Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Corresponding Loading
Extremes;;-12.82;0.06;68.69;0.00;0.00;0.01;
25;;-46.66;-0.29;32.74;0.00;0.00;-0.01;
25;;;;;;;;
31;P_x;46.66;-0.29;68.54;0.00;0.00;0.00;CO26
31;P_x;12.82;0.00;32.70;0.00;0.00;0.00;CO29
31;P_y;35.77;0.05;50.52;0.00;0.00;0.01;CO37
31;P_y;46.66;-0.29;68.54;0.00;0.00;0.00;CO26
31;P_z;46.66;-0.29;68.54;0.00;0.00;0.00;CO26
31;P_z;12.82;0.00;32.70;0.00;0.00;0.00;CO29
31;M_x;20.11;0.00;33.54;0.00;0.00;0.00;CO20
31;M_x;20.11;0.00;33.54;0.00;0.00;0.00;CO20
31;M_y;20.11;0.00;33.54;0.00;0.00;0.00;CO20
31;M_y;20.11;0.00;33.54;0.00;0.00;0.00;CO20
31;M_z;35.77;0.05;50.52;0.00;0.00;0.01;CO37
31;M_z;34.82;-0.05;50.52;0.00;0.00;-0.01;CO35
Extremes;;46.66;0.05;68.54;0.00;0.00;0.01;
31;;12.82;-0.29;32.70;0.00;0.00;-0.01;
31;;;;;;;;
32;P_x;-12.80;-0.14;32.72;0.00;0.00;0.00;CO31
32;P_x;-46.64;0.00;68.67;0.00;0.00;0.00;CO24
32;P_y;-36.76;0.05;50.56;0.00;0.00;-0.01;CO37
32;P_y;-43.23;-0.29;67.66;0.00;0.00;0.00;CO23
32;P_z;-46.64;0.00;68.67;0.00;0.00;0.00;CO24
32;P_z;-12.80;-0.14;32.72;0.00;0.00;0.00;CO31
32;M_x;-20.11;0.00;33.52;0.00;0.00;0.00;CO20
32;M_x;-20.11;0.00;33.52;0.00;0.00;0.00;CO20
32;M_y;-20.11;0.00;33.52;0.00;0.00;0.00;CO20
32;M_y;-20.11;0.00;33.52;0.00;0.00;0.00;CO20
32;M_z;-34.81;-0.05;50.52;0.00;0.00;0.01;CO35
32;M_z;-36.76;0.05;50.56;0.00;0.00;-0.01;CO37
Extremes;;-12.80;0.05;68.67;0.00;0.00;0.01;
32;;-46.64;-0.29;32.72;0.00;0.00;-0.01;
32;;;;;;;;
38;P_x;46.64;-0.29;68.52;0.00;0.00;0.00;CO26
38;P_x;12.81;0.00;32.68;0.00;0.00;0.00;CO29
38;P_y;36.76;0.05;50.56;0.00;0.00;0.01;CO37
38;P_y;46.64;-0.29;68.52;0.00;0.00;0.00;CO26
38;P_z;46.64;-0.29;68.52;0.00;0.00;0.00;CO26
38;P_z;12.81;0.00;32.68;0.00;0.00;0.00;CO29
38;M_x;20.11;0.00;33.54;0.00;0.00;0.00;CO20
38;M_x;20.11;0.00;33.54;0.00;0.00;0.00;CO20
38;M_y;20.11;0.00;33.54;0.00;0.00;0.00;CO20
38;M_y;20.11;0.00;33.54;0.00;0.00;0.00;CO20
38;M_z;36.76;0.05;50.56;0.00;0.00;0.01;CO37
38;M_z;34.81;-0.05;50.51;0.00;0.00;-0.01;CO35
Extremes;;46.64;0.05;68.52;0.00;0.00;0.01;
38;;12.81;-0.29;32.68;0.00;0.00;-0.01;
38;;;;;;;;
39;P_x;1.56;3.23;4.92;0.00;0.00;0.01;CO31
39;P_x;-3.77;-2.00;5.80;0.00;0.00;-0.01;CO37
39;P_y;1.56;3.23;4.92;0.00;0.00;0.01;CO31
39;P_y;-3.74;-2.02;5.79;0.00;0.00;-0.01;CO38
39;P_z;0.30;1.91;8.80;0.00;0.00;0.00;CO26
39;P_z;-3.49;-2.02;3.76;0.00;0.00;-0.01;CO33
39;M_x;-0.40;0.00;4.46;0.00;0.00;0.00;CO20
39;M_x;-0.40;0.00;4.46;0.00;0.00;0.00;CO20
39;M_y;-0.40;0.00;4.46;0.00;0.00;0.00;CO20
39;M_y;-0.40;0.00;4.46;0.00;0.00;0.00;CO20
39;M_z;1.32;3.22;6.96;0.00;0.00;0.01;CO36
