Member No.;Node;Location;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Section (Material) | Member Comment
Extremes;;2.250;u_X;4.1;0.8;4.0;0.1;0.6;0.0;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;u_X;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.500;u_Y;4.2;0.8;4.1;0.1;0.3;0.1;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;u_Y;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;u_Z;2.9;0.1;2.9;0.1;-1.0;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;u_Z;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;φ_X;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;φ_X;2.9;0.1;2.9;0.1;-1.0;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;φ_Y;2.9;0.1;2.9;0.1;-1.0;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;φ_Y;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;φ_Z;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;φ_Z;0.0;0.0;0.0;0.0;2.5;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;4.2;0.8;4.1;0.1;2.5;0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
7;;;;0.0;0.0;0.0;0.0;-1.0;-0.5;0.0;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;;
8;9;0.000;;0.0;0.0;0.0;0.0;3.3;-0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;;0.0;0.0;0.0;0.0;3.3;-0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;;5.6;1.0;5.5;0.1;1.0;-0.1;0.0;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;3.7;0.0;3.7;0.1;-1.6;0.6;0.0;Beam | 2 - HEA 160 | L : 5.000 m
