Member No.;Node;;Forces [kN];;;Moments [kNm];;;
154;123;;-0.15;-0.44;-4.38;0.00;0.00;0.00;
155;23;;0.00;0.23;2.27;0.00;0.00;0.00;
155;16;;0.00;-0.23;-2.27;0.00;0.00;0.00;
156;96;;-0.08;0.44;4.38;0.00;0.00;0.00;
156;124;;-0.08;-0.44;-4.38;0.00;0.00;0.00;
157;97;;-0.42;0.44;4.38;0.00;0.00;0.00;
157;125;;-0.42;-0.44;-4.38;0.00;0.00;0.00;
158;98;;-0.06;0.44;4.38;0.00;0.00;0.00;
158;126;;-0.06;-0.44;-4.38;0.00;0.00;0.00;
159;99;;-0.04;0.44;4.38;0.00;0.00;0.00;
159;127;;-0.04;-0.44;-4.38;0.00;0.00;0.00;
160;117;;-0.06;0.27;2.66;0.00;0.00;0.00;
160;89;;-0.06;-0.27;-2.66;0.00;0.00;0.00;
161;100;;-0.06;0.27;2.66;0.00;0.00;0.00;
161;128;;-0.06;-0.27;-2.66;0.00;0.00;0.00;
174;139;;-0.18;0.44;4.38;0.00;0.00;0.00;
174;111;;-0.18;-0.44;-4.38;0.00;0.00;0.00;
175;2;;0.00;0.23;2.27;0.00;0.00;0.00;
175;12;;0.00;-0.23;-2.27;0.00;0.00;0.00;
176;140;;-0.12;0.44;4.38;0.00;0.00;0.00;
176;112;;-0.12;-0.44;-4.38;0.00;0.00;0.00;
177;141;;-0.66;0.44;4.38;0.00;0.00;0.00;
177;113;;-0.66;-0.44;-4.38;0.00;0.00;0.00;
178;142;;-0.09;0.44;4.38;0.00;0.00;0.00;
178;114;;-0.09;-0.44;-4.38;0.00;0.00;0.00;
179;143;;-0.07;0.44;4.38;0.00;0.00;0.00;
179;115;;-0.07;-0.44;-4.38;0.00;0.00;0.00;
180;123;;-0.19;0.44;4.38;0.00;0.00;0.00;
180;151;;-0.19;-0.44;-4.38;0.00;0.00;0.00;
181;16;;0.00;0.23;2.27;0.00;0.00;0.00;
181;6;;0.00;-0.23;-2.27;0.00;0.00;0.00;
182;124;;-0.11;0.44;4.38;0.00;0.00;0.00;
182;152;;-0.11;-0.44;-4.38;0.00;0.00;0.00;
183;125;;-0.65;0.44;4.38;0.00;0.00;0.00;
183;153;;-0.65;-0.44;-4.38;0.00;0.00;0.00;
184;126;;-0.09;0.44;4.38;0.00;0.00;0.00;
184;154;;-0.09;-0.44;-4.38;0.00;0.00;0.00;
185;127;;-0.07;0.44;4.38;0.00;0.00;0.00;
185;155;;-0.07;-0.44;-4.38;0.00;0.00;0.00;
186;145;;-0.12;0.27;2.66;0.00;0.00;0.00;
186;117;;-0.12;-0.27;-2.66;0.00;0.00;0.00;
187;128;;-0.11;0.27;2.66;0.00;0.00;0.00;
187;156;;-0.11;-0.27;-2.66;0.00;0.00;0.00;
200;49;;0.06;0.44;4.38;0.00;0.00;0.00;
200;116;;0.06;-0.44;-4.38;0.00;0.00;0.00;
201;33;;0.00;0.23;2.27;0.00;0.00;0.00;
201;40;;0.00;-0.23;-2.27;0.00;0.00;0.00;
202;50;;0.05;0.44;4.38;0.00;0.00;0.00;
202;118;;0.05;-0.44;-4.38;0.00;0.00;0.00;
203;51;;0.25;0.44;4.38;0.00;0.00;0.00;
203;119;;0.25;-0.44;-4.38;0.00;0.00;0.00;
204;54;;0.04;0.44;4.38;0.00;0.00;0.00;
204;120;;0.04;-0.44;-4.38;0.00;0.00;0.00;
205;53;;0.02;0.44;4.38;0.00;0.00;0.00;
205;121;;0.02;-0.44;-4.38;0.00;0.00;0.00;
206;129;;0.07;0.44;4.38;0.00;0.00;0.00;
206;64;;0.07;-0.44;-4.38;0.00;0.00;0.00;
207;44;;0.00;0.23;2.27;0.00;0.00;0.00;
207;37;;0.00;-0.23;-2.27;0.00;0.00;0.00;
208;130;;0.05;0.44;4.38;0.00;0.00;0.00;
208;65;;0.05;-0.44;-4.38;0.00;0.00;0.00;
209;131;;0.24;0.44;4.38;0.00;0.00;0.00;
209;66;;0.24;-0.44;-4.38;0.00;0.00;0.00;
210;132;;0.04;0.44;4.38;0.00;0.00;0.00;
210;68;;0.04;-0.44;-4.38;0.00;0.00;0.00;
211;133;;0.02;0.44;4.38;0.00;0.00;0.00;
211;67;;0.02;-0.44;-4.38;0.00;0.00;0.00;
212;52;;0.05;0.27;2.66;0.00;0.00;0.00;
212;122;;0.05;-0.27;-2.66;0.00;0.00;0.00;
213;134;;0.05;0.27;2.66;0.00;0.00;0.00;
213;62;;0.05;-0.27;-2.66;0.00;0.00;0.00;
Total;;;0.25;0.44;4.38;0.00;0.00;0.00;
max/min;;;-16.32;-0.44;-4.38;0.00;0.00;0.00;
