Member No.;Node;Location;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Corresponding Loading
Extremes;3;4.500;ε_x;-0.01;0.00;0.04;0.0;0.0;0.0;CO31
7;8;0.000;ε_x;-0.02;0.00;-0.07;0.0;0.0;0.0;CO24
7;8;0.000;γ_xy;-0.01;0.00;0.08;0.0;0.0;0.0;CO24
7;3;4.500;γ_xy;-0.02;0.00;-0.05;0.0;0.0;0.0;CO24
7;8;0.000;γ_xz;-0.01;0.00;0.08;0.0;0.0;0.0;CO31
7;8;0.000;γ_xz;-0.02;0.00;-0.07;0.0;0.0;0.0;CO35
7;;3.500;κ_x;-0.01;0.00;0.04;0.0;0.8;0.0;CO35
7;;1.000;κ_x;-0.02;0.00;-0.04;0.0;-1.0;-0.2;CO35
7;;2.000;κ_y;-0.01;0.00;0.00;0.0;1.5;0.0;CO31
7;;2.000;κ_y;-0.02;0.00;0.00;0.0;-1.3;-0.3;CO35
7;8;0.000;κ_z;-0.01;0.00;0.08;0.0;0.0;0.0;CO31
7;;2.238;κ_z;-0.02;0.00;-0.01;0.0;-1.3;-0.3;CO24
Total;;;;-0.01;0.00;0.08;0.0;1.5;0.0;
7;;;;-0.02;0.00;-0.07;0.0;-1.3;-0.3;
;;;;;;;;;;
8;9;0.000;max;-0.01;0.00;0.08;0.0;0.0;0.0;
8;9;0.000;min;-0.02;0.00;-0.08;0.0;0.0;0.0;
8;9;0.000;max;-0.01;0.00;0.08;0.0;0.0;0.0;
8;9;0.000;min;-0.02;0.00;-0.08;0.0;0.0;0.0;
8;;2.238;max;-0.01;0.00;0.00;0.0;1.5;0.0;
8;;2.238;min;-0.02;0.00;0.00;0.0;-1.7;-0.3;
8;4;5.000;max;-0.01;0.00;0.05;0.0;0.0;0.0;
8;4;5.000;min;-0.02;0.00;-0.05;0.0;0.0;0.0;
8;4;5.000;max;-0.01;0.00;0.05;0.0;0.0;0.0;
8;4;5.000;min;-0.02;0.00;-0.05;0.0;0.0;0.0;
Extremes;4;5.000;ε_x;-0.01;0.00;0.05;0.0;0.0;0.0;CO29
8;9;0.000;ε_x;-0.02;0.00;-0.08;0.0;0.0;0.0;CO26
8;9;0.000;γ_xy;-0.01;0.00;0.08;0.0;0.0;0.0;CO25
8;4;5.000;γ_xy;-0.02;0.00;-0.05;0.0;0.0;0.0;CO25
8;9;0.000;γ_xz;-0.01;0.00;0.08;0.0;0.0;0.0;CO34
8;9;0.000;γ_xz;-0.02;0.00;-0.08;0.0;0.0;0.0;CO35
8;;3.500;κ_x;-0.01;0.00;0.04;0.1;1.1;0.0;CO35
8;;3.500;κ_x;-0.02;0.00;-0.03;-0.1;-1.2;-0.2;CO34
8;;2.238;κ_y;-0.01;0.00;0.00;0.0;1.5;0.0;CO34
8;;2.238;κ_y;-0.02;0.00;0.00;0.0;-1.7;-0.3;CO35
8;;2.500;κ_z;-0.01;0.00;0.01;0.0;1.5;0.0;CO28
8;;2.500;κ_z;-0.02;0.00;-0.01;0.0;-1.6;-0.3;CO25
Total;;;;-0.01;0.00;0.08;0.1;1.5;0.0;
8;;;;-0.02;0.00;-0.08;-0.1;-1.7;-0.3;
;;;;;;;;;;
9;10;0.000;max;-0.01;0.00;0.08;0.0;0.0;0.0;
9;10;0.000;min;-0.02;0.00;-0.07;0.0;0.0;0.0;
9;10;0.000;max;-0.01;0.00;0.08;0.0;0.0;0.0;
9;10;0.000;min;-0.02;0.00;-0.07;0.0;0.0;0.0;
9;;1.738;max;-0.01;0.00;0.01;0.0;1.5;0.0;
9;;1.738;min;-0.02;0.00;-0.01;0.0;-1.3;-0.2;
9;;2.238;max;-0.01;0.00;0.01;0.0;1.5;0.0;
9;;2.238;min;-0.02;0.00;-0.01;0.0;-1.3;-0.2;
9;5;4.500;max;-0.01;0.00;0.04;0.0;0.0;0.0;
9;5;4.500;min;-0.02;0.00;-0.05;0.0;0.0;0.0;
9;5;4.500;max;-0.01;0.00;0.04;0.0;0.0;0.0;
9;5;4.500;min;-0.02;0.00;-0.05;0.0;0.0;0.0;
Extremes;5;4.500;ε_x;-0.01;0.00;0.04;0.0;0.0;0.0;CO29
9;10;0.000;ε_x;-0.02;0.00;-0.07;0.0;0.0;0.0;CO25
9;10;0.000;γ_xy;-0.01;0.00;0.08;0.0;0.0;0.0;CO25
9;5;4.500;γ_xy;-0.02;0.00;-0.05;0.0;0.0;0.0;CO25
9;10;0.000;γ_xz;-0.01;0.00;0.08;0.0;0.0;0.0;CO34
9;10;0.000;γ_xz;-0.02;0.00;-0.07;0.0;0.0;0.0;CO35
9;;3.000;κ_x;-0.01;0.00;0.03;0.0;1.2;0.0;CO35
9;;3.000;κ_x;-0.02;0.00;-0.03;-0.1;-1.1;-0.2;CO34
9;;2.000;κ_y;-0.01;0.00;0.00;0.0;1.5;0.0;CO34
9;;2.000;κ_y;-0.02;0.00;0.00;0.0;-1.3;-0.2;CO35
9;;2.000;κ_z;-0.01;0.00;0.00;0.0;1.5;0.0;CO28
9;;2.238;κ_z;-0.02;0.00;-0.01;0.0;-1.3;-0.2;CO25
Total;;;;-0.01;0.00;0.08;0.0;1.5;0.0;
9;;;;-0.02;0.00;-0.07;-0.1;-1.3;-0.2;
;;;;;;;;;;
10;11;0.000;max;-0.01;0.00;-0.03;0.1;0.0;0.0;
10;11;0.000;min;-0.03;0.00;-0.12;-0.1;0.0;0.0;
10;11;0.000;max;-0.01;0.00;-0.03;0.1;0.0;0.0;
10;11;0.000;min;-0.03;0.00;-0.12;-0.1;0.0;0.0;
10;;1.500;max;-0.01;0.00;-0.04;0.3;-0.2;0.0;
10;;1.500;min;-0.03;0.00;-0.12;-0.3;-0.7;-0.2;
10;;1.500;max;-0.01;0.00;-0.04;0.3;-0.2;0.0;
10;;1.500;min;-0.03;0.00;-0.12;-0.3;-0.7;-0.2;
10;12;4.000;max;-0.01;0.00;-0.04;1.2;-0.7;0.0;
10;12;4.000;min;-0.03;0.00;-0.12;-0.8;-1.8;0.0;
10;12;4.000;max;-0.01;0.00;-0.04;1.2;-0.7;0.0;
10;12;4.000;min;-0.03;0.00;-0.12;-0.8;-1.8;0.0;
Extremes;12;4.000;ε_x;-0.01;0.00;-0.04;1.2;-0.7;0.0;CO30
10;11;0.000;ε_x;-0.03;0.00;-0.12;-0.1;0.0;0.0;CO27
10;11;0.000;γ_xy;-0.01;0.00;-0.03;0.1;0.0;0.0;CO28
10;12;4.000;γ_xy;-0.03;0.00;-0.12;-0.8;-1.8;0.0;CO28
10;11;0.000;γ_xz;-0.01;0.00;-0.03;0.1;0.0;0.0;CO31
10;11;0.000;γ_xz;-0.03;0.00;-0.12;-0.1;0.0;0.0;CO28
10;12;4.000;κ_x;-0.01;0.00;-0.04;1.2;-0.7;0.0;CO28
10;12;4.000;κ_x;-0.03;0.00;-0.12;-0.8;-1.8;0.0;CO35
10;11;0.000;κ_y;-0.01;0.00;-0.03;0.1;0.0;0.0;CO35
10;12;4.000;κ_y;-0.03;0.00;-0.12;-0.8;-1.8;0.0;CO24
10;12;4.000;κ_z;-0.01;0.00;-0.04;1.2;-0.7;0.0;CO30
10;;2.000;κ_z;-0.03;0.00;-0.12;-0.4;-0.9;-0.2;CO28
Total;;;;-0.01;0.00;-0.03;1.2;0.0;0.0;
10;;;;-0.03;0.00;-0.12;-0.8;-1.8;-0.2;
;;;;;;;;;;
11;12;0.000;max;-0.01;0.00;0.15;1.6;-0.7;0.0;
11;12;0.000;min;-0.02;0.00;0.07;-2.0;-1.8;0.0;
11;;0.825;max;-0.01;0.00;0.14;1.7;-0.5;0.0;
11;;0.825;min;-0.02;0.00;0.06;-2.1;-1.4;0.0;
11;;0.825;max;-0.01;0.00;0.14;1.7;-0.5;0.0;
11;;0.825;min;-0.02;0.00;0.06;-2.1;-1.4;0.0;
11;;1.005;max;-0.01;0.00;0.14;1.7;-0.4;0.0;
11;;1.005;min;-0.02;0.00;0.06;-2.2;-1.3;0.0;
11;111;1.650;max;-0.01;0.00;0.14;1.8;-0.3;0.0;
11;111;1.650;min;-0.02;0.00;0.06;-2.3;-0.9;0.0;
Extremes;111;1.650;ε_x;-0.01;0.00;0.14;1.8;-0.3;0.0;CO33
11;12;0.000;ε_x;-0.02;0.00;0.07;-2.0;-1.8;0.0;CO25
11;111;1.650;γ_xy;-0.01;0.00;0.14;1.8;-0.3;0.0;CO35
11;111;1.650;γ_xy;-0.02;0.00;0.06;-2.3;-0.9;0.0;CO37
11;12;0.000;γ_xz;-0.01;0.00;0.15;1.6;-0.7;0.0;CO28
11;111;1.650;γ_xz;-0.02;0.00;0.06;-2.3;-0.9;0.0;CO30
11;111;1.650;κ_x;-0.01;0.00;0.14;1.8;-0.3;0.0;CO30
11;111;1.650;κ_x;-0.02;0.00;0.06;-2.3;-0.9;0.0;CO32
11;111;1.650;κ_y;-0.01;0.00;0.14;1.8;-0.3;0.0;CO31
11;12;0.000;κ_y;-0.02;0.00;0.07;-2.0;-1.8;0.0;CO24
11;111;1.650;κ_z;-0.01;0.00;0.14;1.8;-0.3;0.0;CO32
11;;0.619;κ_z;-0.02;0.00;0.06;-2.1;-1.5;0.0;CO28
Total;;;;-0.01;0.00;0.15;1.8;-0.3;0.0;
11;;;;-0.02;0.00;0.06;-2.3;-1.8;0.0;
;;;;;;;;;;
12;13;0.000;max;0.00;0.00;0.06;0.5;0.5;0.2;
12;13;0.000;min;-0.02;0.00;0.03;-0.6;0.1;-0.1;
12;;0.787;max;0.00;0.00;0.06;0.5;0.7;0.1;
12;;0.787;min;-0.02;0.00;0.02;-0.6;0.2;-0.1;
12;;0.787;max;0.00;0.00;0.06;0.5;0.7;0.1;
12;;0.787;min;-0.02;0.00;0.02;-0.6;0.2;-0.1;
12;114;1.575;max;0.00;0.00;0.06;0.5;0.8;0.1;
12;114;1.575;min;-0.02;0.00;0.02;-0.6;0.3;-0.1;
Extremes;114;1.575;ε_x;0.00;0.00;0.06;0.5;0.8;0.1;CO32
12;13;0.000;ε_x;-0.02;0.00;0.03;-0.6;0.1;-0.1;CO25
12;114;1.575;γ_xy;0.00;0.00;0.06;0.5;0.8;0.1;CO33
12;114;1.575;γ_xy;-0.02;0.00;0.02;-0.6;0.3;-0.1;CO30
12;13;0.000;γ_xz;0.00;0.00;0.06;0.5;0.5;0.2;CO28
12;114;1.575;γ_xz;-0.02;0.00;0.02;-0.6;0.3;-0.1;CO31
12;13;0.000;κ_x;0.00;0.00;0.06;0.5;0.5;0.2;CO33
12;;0.787;κ_x;-0.02;0.00;0.02;-0.6;0.2;-0.1;CO30
12;114;1.575;κ_y;0.00;0.00;0.06;0.5;0.8;0.1;CO26
