Member No.;Node;Location;;Forces [kN];;;Moments [kNm];;;
;No.;x [m];;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
7;8;0.000;V_z;-18.97;0.31;1.98;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;3;4.500;V_z;-17.60;-0.30;-1.22;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;;1.000;M_T;-18.67;0.17;1.00;0.00;1.49;-0.24;Beam | 2 - HEA 160 | L : 4.500 m
7;;3.500;M_T;-17.91;-0.17;-1.02;0.00;1.15;-0.23;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.000;M_y;-18.37;0.03;0.02;0.00;2.00;-0.34;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;M_y;-18.97;0.31;1.98;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;8;0.000;M_z;-18.97;0.31;1.98;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;;2.238;M_z;-18.29;0.00;-0.20;0.00;1.98;-0.34;Beam | 2 - HEA 160 | L : 4.500 m
Total;;;;-17.60;0.31;1.98;0.00;2.00;0.00;Beam | 2 - HEA 160 | L : 4.500 m
7;;;;-18.97;-0.30;-1.22;0.00;0.00;-0.34;Beam | 2 - HEA 160 | L : 4.500 m
;;;;;;;;;;
8;9;0.000;;-16.06;0.26;2.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;;-16.06;0.26;2.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
8;;2.238;;-15.38;0.02;0.01;0.00;3.24;-0.32;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;-14.54;-0.25;-1.76;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;;-14.54;-0.25;-1.76;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
Extremes;4;5.000;N;-14.54;-0.25;-1.76;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;N;-16.06;0.26;2.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;V_y;-16.06;0.26;2.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
8;4;5.000;V_y;-14.54;-0.25;-1.76;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
8;9;0.000;V_z;-16.06;0.26;2.88;0.00;0.00;0.00;Beam | 2 - HEA 160 | L : 5.000 m
